latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-23.519,148.302,323.9,1.5,1.2,2021-01-11,00:00,T,76,6.0NRT,294.5,23.6,D
-27.244,149.409,326.6,1.1,1.1,2021-01-11,00:05,T,72,6.0NRT,303.9,15.1,D
-27.738,150.825,336.1,1,1,2021-01-11,00:05,T,85,6.0NRT,303.6,29.1,D
-27.102,149.729,325.4,1.1,1,2021-01-11,00:05,T,72,6.0NRT,305.1,12,D
-32.179,145.573,332.9,1.5,1.2,2021-01-11,00:05,T,65,6.0NRT,316.9,18.7,D
-32.183,145.582,333.7,1.5,1.2,2021-01-11,00:05,T,74,6.0NRT,316.3,21.7,D
-33.213,151.514,308.7,1,1,2021-01-11,00:05,T,0,6.0NRT,296,2.9,D
-33.273,147.928,323.5,1.1,1.1,2021-01-11,00:05,T,59,6.0NRT,308,9.6,D
-26.844,152.607,313.2,1,1,2021-01-11,00:05,T,57,6.0NRT,295.1,7,D
-27.091,149.72,321.6,1.1,1.1,2021-01-11,00:05,T,61,6.0NRT,304,8.1,D
-33.794,150.879,320.3,1,1,2021-01-11,00:05,T,49,6.0NRT,306,6.1,D
-27.581,152.954,319.7,1,1,2021-01-11,00:05,T,42,6.0NRT,300.6,9,D
-27.593,153.038,320,1,1,2021-01-11,00:05,T,41,6.0NRT,301.9,7.3,D
-27.1,149.718,340,1.1,1.1,2021-01-11,00:05,T,88,6.0NRT,305.2,35.4,D
-27.242,149.398,320.2,1.1,1.1,2021-01-11,00:05,T,47,6.0NRT,304.7,6.5,D
-33.94,150.866,320.2,1,1,2021-01-11,00:05,T,62,6.0NRT,303.8,4.8,D
-34.465,150.882,321.1,1,1,2021-01-11,00:05,T,60,6.0NRT,306.7,8,D
-32.137,146.088,332.1,1.4,1.2,2021-01-11,00:05,T,72,6.0NRT,314.4,22,D
-12.472,130.918,319.4,1,1,2021-01-11,01:35,T,0,6.0NRT,299.3,7.8,D
-12.623,131.709,319.3,1,1,2021-01-11,01:35,T,54,6.0NRT,300.5,9.2,D
-14.399,124.984,310.3,1.7,1.3,2021-01-11,01:40,T,36,6.0NRT,296.5,11.3,D
-15.96,128.021,342.4,1.1,1,2021-01-11,01:40,T,86,6.0NRT,310.9,30.5,D
-32.181,145.574,342.6,1.1,1.1,2021-01-11,04:20,A,84,6.0NRT,326.7,17.3,D
-40.937,148.137,337.7,1.1,1,2021-01-11,04:20,A,89,6.0NRT,300,38.7,D
-32.105,146.027,343.5,1.2,1.1,2021-01-11,04:20,A,81,6.0NRT,323.9,23,D
-32.191,145.576,340.7,1.1,1.1,2021-01-11,04:20,A,72,6.0NRT,324.2,14.2,D
-33.11,148.091,329.9,1.5,1.2,2021-01-11,04:20,A,70,6.0NRT,313.9,16.1,D
-38.384,145.356,344.4,1,1,2021-01-11,04:20,A,87,6.0NRT,281.5,48.6,D
-32.103,146.034,341.2,1.2,1.1,2021-01-11,04:20,A,82,6.0NRT,324.3,23.2,D
-15.648,129.784,324.5,3.4,1.7,2021-01-11,04:25,A,5,6.0NRT,291.8,65.9,D
-15.425,130.029,330.3,3.3,1.7,2021-01-11,04:25,A,0,6.0NRT,287.6,98.4,D
-15.421,130.035,332.3,3.3,1.7,2021-01-11,04:25,A,61,6.0NRT,288.1,111.2,D
-15.712,129.733,342.5,3.5,1.8,2021-01-11,04:25,A,84,6.0NRT,296.1,223.1,D
-15.709,129.766,326.8,3.4,1.7,2021-01-11,04:25,A,70,6.0NRT,297.1,80.6,D
-15.944,128.008,325.5,4.7,2,2021-01-11,04:25,A,52,6.0NRT,299.2,96.1,D
-15.706,129.736,330.2,3.5,1.8,2021-01-11,04:25,A,77,6.0NRT,293.6,102.7,D
-15.721,129.738,339.8,3.5,1.8,2021-01-11,04:25,A,87,6.0NRT,298.7,192.3,D
-15.942,128.011,324.6,4.7,2,2021-01-11,04:25,A,66,6.0NRT,298.6,99,D
-16.47,139.308,312.3,1,1,2021-01-11,04:25,A,0,6.0NRT,290.7,3.8,D
-31.873,123.664,333.6,1.6,1.2,2021-01-11,06:00,A,73,6.0NRT,313.8,30.3,D
-32.067,122.861,340.1,1.4,1.2,2021-01-11,06:00,A,82,6.0NRT,317.2,36.8,D
