latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.154,139.896,332.6,2.7,1.6,2021-01-29,01:25,T,77,6.0NRT,296.4,91.6,D
-20.158,139.889,327,2.7,1.6,2021-01-29,01:25,T,65,6.0NRT,294.8,62.4,D
-20.156,139.863,324.2,2.7,1.6,2021-01-29,01:25,T,54,6.0NRT,296.4,49.4,D
-20.152,139.871,347.7,2.7,1.6,2021-01-29,01:25,T,92,6.0NRT,297.7,196,D
-20.137,139.872,325.5,2.7,1.6,2021-01-29,01:25,T,62,6.0NRT,297.6,52.7,D
-34.695,172.96,312.1,1,1,2021-01-29,02:30,A,34,6.0NRT,301.5,7.3,D
-40.511,172.774,313.5,1,1,2021-01-29,02:30,A,43,6.0NRT,303.5,11.6,D
-25.791,148.34,332,1.4,1.2,2021-01-29,04:10,A,68,6.0NRT,304.4,23.6,D
-22.937,146.3,336.3,1.2,1.1,2021-01-29,04:10,A,78,6.0NRT,302.7,30.6,D
-22.939,146.288,332.4,1.2,1.1,2021-01-29,04:10,A,66,6.0NRT,304.3,22.8,D
-21.169,148.059,338.2,1.6,1.2,2021-01-29,04:10,A,85,6.0NRT,300.5,52.4,D
-21.156,148.071,326.4,1.6,1.2,2021-01-29,04:10,A,60,6.0NRT,297.6,23.2,D
-21.53,145.225,343.3,1.1,1,2021-01-29,04:10,A,74,6.0NRT,316.2,27.4,D
-29.02,151.435,326.5,1.8,1.3,2021-01-29,04:10,A,71,6.0NRT,298.6,32.7,D
-27.59,147.207,350.7,1.1,1.1,2021-01-29,04:10,A,93,6.0NRT,318.8,41.1,D
-22.977,146.325,331.2,1.2,1.1,2021-01-29,04:10,A,70,6.0NRT,303.5,21.3,D
-20.157,139.864,349.9,1.2,1.1,2021-01-29,04:15,A,88,6.0NRT,298.7,68.3,D
-20.147,139.862,337.9,1.2,1.1,2021-01-29,04:15,A,69,6.0NRT,298.9,36.6,D
-20.165,139.877,415.1,1.2,1.1,2021-01-29,04:15,A,87,6.0NRT,301.7,478.1,D
-31.989,115.945,326.9,1.6,1.2,2021-01-29,05:50,A,33,6.0NRT,311.9,9.8,D
-27.552,150.835,302.7,4.1,1.9,2021-01-29,11:55,T,51,6.0NRT,290.8,32.6,N
-27.555,150.842,306.2,4.1,1.9,2021-01-29,11:55,T,67,6.0NRT,290.8,50.6,N
-21.013,164.674,322.3,1.5,1.2,2021-01-29,12:00,T,100,6.0NRT,291.7,33.8,N
-21.011,164.689,322.5,1.5,1.2,2021-01-29,12:00,T,100,6.0NRT,291.5,36,N
-21.022,164.691,331.2,1.5,1.2,2021-01-29,12:00,T,100,6.0NRT,290.6,51.5,N
-21.024,164.677,328.5,1.5,1.2,2021-01-29,12:00,T,100,6.0NRT,291.8,46.3,N
-28.004,148.859,301.6,4.2,1.9,2021-01-29,13:35,T,42,6.0NRT,289.5,31.4,N
-20.144,139.841,320,1.5,1.2,2021-01-29,13:35,T,100,6.0NRT,295.2,25.5,N
-20.141,139.855,314.1,1.5,1.2,2021-01-29,13:35,T,88,6.0NRT,292.6,16.2,N
-20.152,139.857,308.7,1.5,1.2,2021-01-29,13:35,T,47,6.0NRT,293.6,10.6,N
-20.148,139.886,310.1,1.5,1.2,2021-01-29,13:35,T,49,6.0NRT,295,12.3,N
-21.956,140.447,316.2,1.5,1.2,2021-01-29,13:35,T,72,6.0NRT,294.5,21.8,N
-21.954,140.462,311.2,1.5,1.2,2021-01-29,13:35,T,54,6.0NRT,292.3,13,N
-23.613,146.574,300.8,3.8,1.8,2021-01-29,13:35,T,30,6.0NRT,290.2,25.3,N
-23.619,146.583,303.5,3.8,1.8,2021-01-29,13:35,T,56,6.0NRT,290.3,34.1,N
-28.002,148.854,302,4.2,1.9,2021-01-29,13:35,T,46,6.0NRT,288.7,33.8,N
-17.888,138.284,320.8,1.3,1.1,2021-01-29,13:40,T,100,6.0NRT,296.2,21.8,N
