latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.283,146.199,337,4.7,2,2021-01-24,01:10,T,86,6.0NRT,289.3,274.1,D
-20.084,139.881,325.8,1.3,1.1,2021-01-24,01:10,T,56,6.0NRT,302,13.6,D
-20.085,139.893,352.7,1.3,1.1,2021-01-24,01:10,T,95,6.0NRT,303.7,75.8,D
-20.087,139.905,335,1.3,1.1,2021-01-24,01:10,T,79,6.0NRT,301.9,30.2,D
-20.095,139.892,360.3,1.3,1.1,2021-01-24,01:10,T,100,6.0NRT,301.6,104.1,D
-20.097,139.904,333.8,1.3,1.1,2021-01-24,01:10,T,77,6.0NRT,301.2,29.2,D
-22.87,141.826,333.4,1.8,1.3,2021-01-24,01:10,T,63,6.0NRT,302.8,32.2,D
-22.877,141.837,328.5,1.8,1.3,2021-01-24,01:10,T,30,6.0NRT,303.6,16.5,D
-32.268,146.206,337.1,4.7,2,2021-01-24,01:10,T,86,6.0NRT,288.2,275.3,D
-32.265,146.2,329.6,4.7,2,2021-01-24,01:10,T,72,6.0NRT,289.2,175.3,D
-33.82,150.795,331.9,1,1,2021-01-24,03:50,A,52,6.0NRT,314.4,8.9,D
-30.744,152.662,316.4,1.1,1.1,2021-01-24,03:50,A,57,6.0NRT,303.9,8.4,D
-21.692,148.853,346.8,1,1,2021-01-24,03:55,A,92,6.0NRT,313.7,37.4,D
-20.086,139.894,333.1,2.6,1.6,2021-01-24,03:55,A,78,6.0NRT,304.6,67.7,D
-20.1,139.896,332.8,2.6,1.6,2021-01-24,03:55,A,77,6.0NRT,303.7,66.5,D
-20.091,139.902,328.1,2.6,1.6,2021-01-24,03:55,A,69,6.0NRT,303.8,41.7,D
-20.108,139.879,330.8,2.6,1.6,2021-01-24,03:55,A,74,6.0NRT,303.8,59.3,D
-21.081,148.447,334.9,1,1,2021-01-24,03:55,A,77,6.0NRT,299.1,28.9,D
-21.526,148.922,326.2,1,1,2021-01-24,03:55,A,71,6.0NRT,304.9,14.7,D
-21.683,148.852,333.4,1,1,2021-01-24,03:55,A,80,6.0NRT,310.9,15.1,D
-21.691,148.863,341,1,1,2021-01-24,03:55,A,88,6.0NRT,313.6,27.5,D
-23.234,149.868,335.6,1.1,1,2021-01-24,03:55,A,81,6.0NRT,302.3,24,D
-23.679,149.922,324.5,1,1,2021-01-24,03:55,A,0,6.0NRT,296.3,13.9,D
-24.166,146.658,341.6,1.1,1,2021-01-24,03:55,A,86,6.0NRT,309.9,35.9,D
-24.176,146.66,330.5,1.1,1,2021-01-24,03:55,A,72,6.0NRT,309.1,17.2,D
-24.165,148.687,346.6,1,1,2021-01-24,03:55,A,78,6.0NRT,306.1,42.5,D
-26.471,149.275,337.1,1,1,2021-01-24,03:55,A,80,6.0NRT,316.8,16.3,D
-26.47,149.285,346.5,1,1,2021-01-24,03:55,A,90,6.0NRT,317.5,33.1,D
-30.382,124.338,341.2,1,1,2021-01-24,05:30,A,60,6.0NRT,319.3,12.7,D
-31.558,119.928,348.6,1.7,1.3,2021-01-24,05:30,A,93,6.0NRT,312.7,89.9,D
-36.397,139.828,383.6,4.1,1.9,2021-01-24,05:30,A,87,6.0NRT,312,1165.8,D
-36.38,139.821,408.1,4.1,1.9,2021-01-24,05:30,A,87,6.0NRT,316.6,2221.7,D
-36.392,139.777,370.1,4.1,1.9,2021-01-24,05:30,A,0,6.0NRT,314.5,751.2,D
-36.396,139.823,405.6,4.1,1.9,2021-01-24,05:30,A,75,6.0NRT,314,2096.4,D
-36.379,139.816,394.9,4.1,1.9,2021-01-24,05:30,A,75,6.0NRT,316,1590.9,D
-31.565,119.934,354.2,1.7,1.3,2021-01-24,05:30,A,96,6.0NRT,312.4,117.2,D
-31.567,119.916,334.7,1.7,1.3,2021-01-24,05:30,A,72,6.0NRT,308.6,37,D
-31.553,119.933,331.8,1.7,1.3,2021-01-24,05:30,A,63,6.0NRT,312.7,29.5,D
-30.354,124.333,343.2,1,1,2021-01-24,05:30,A,84,6.0NRT,316.4,18.1,D
-30.353,124.344,338.7,1,1,2021-01-24,05:30,A,56,6.0NRT,318,10.7,D
-21.462,114.993,313.5,2.8,1.6,2021-01-24,05:35,A,58,6.0NRT,293.6,39.5,D
-21.459,114.986,311.7,2.8,1.6,2021-01-24,05:35,A,45,6.0NRT,293.2,30.4,D
-27.997,148.135,308.8,1.8,1.3,2021-01-24,13:15,T,76,6.0NRT,289.9,21.3,N
-17.149,145.221,305.2,1.9,1.3,2021-01-24,13:20,T,63,6.0NRT,290.3,16.9,N
-20.124,139.889,306.9,1,1,2021-01-24,13:20,T,63,6.0NRT,270.1,8.2,N
-22.881,149.653,301.2,3,1.7,2021-01-24,13:20,T,38,6.0NRT,289.6,21.2,N
-20.306,142.773,310.5,1.2,1.1,2021-01-24,13:20,T,77,6.0NRT,298.6,7.1,N
-17.152,145.203,303.5,1.9,1.3,2021-01-24,13:20,T,55,6.0NRT,289.9,14.2,N
-30.864,121.489,303.9,1.3,1.1,2021-01-24,14:55,T,58,6.0NRT,291.3,8.1,N
-20.115,139.906,307.4,2.1,1.4,2021-01-24,16:25,A,71,6.0NRT,294.1,14.4,N
-20.127,139.904,307.3,2.1,1.4,2021-01-24,16:25,A,71,6.0NRT,294.3,14.7,N
-36.933,174.888,315.6,1.3,1.1,2021-01-24,22:40,T,44,6.0NRT,299.7,7.2,D
-36.982,174.785,316.6,1.3,1.1,2021-01-24,22:40,T,48,6.0NRT,298.7,8.5,D
