latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.908,147.971,326.5,1.5,1.2,2020-12-10,00:00,T,59,6.0NRT,305.8,19.1,D
-25.002,148.225,320.5,1.4,1.2,2020-12-10,00:00,T,33,6.0NRT,298.2,16,D
-14.61,143.967,314.1,4.6,2,2020-12-10,00:00,T,24,6.0NRT,289.7,48.5,D
-24.868,148.016,333.3,1.5,1.2,2020-12-10,00:00,T,78,6.0NRT,306.1,36.1,D
-24.897,147.974,327.1,1.5,1.2,2020-12-10,00:00,T,53,6.0NRT,305.9,19.3,D
-28.409,149.587,334.1,1.1,1,2020-12-10,00:05,T,73,6.0NRT,312.2,15,D
-29.782,149.276,331.9,1.1,1,2020-12-10,00:05,T,72,6.0NRT,314.2,11.6,D
-30.736,152.66,320,1.1,1,2020-12-10,00:05,T,69,6.0NRT,300.6,13,D
-31.473,151.687,327,1,1,2020-12-10,00:05,T,78,6.0NRT,305.8,16,D
-31.493,151.628,314.8,1,1,2020-12-10,00:05,T,28,6.0NRT,300.6,7.6,D
-33.795,150.879,324.2,1,1,2020-12-10,00:05,T,51,6.0NRT,308.5,7.2,D
-33.94,150.871,324,1,1,2020-12-10,00:05,T,62,6.0NRT,306.6,4.5,D
-34.457,150.883,327,1,1,2020-12-10,00:05,T,60,6.0NRT,302.1,13.8,D
-34.466,150.886,323.9,1,1,2020-12-10,00:05,T,58,6.0NRT,302.9,11.4,D
-34.772,145.921,321.3,1.3,1.1,2020-12-10,00:05,T,27,6.0NRT,305.4,8.6,D
-26.905,149.307,332,1.2,1.1,2020-12-10,00:05,T,71,6.0NRT,308.3,17.1,D
-28.792,152.353,316.3,1,1,2020-12-10,00:05,T,49,6.0NRT,296,9.2,D
-11.833,136.674,313.2,2,1.4,2020-12-10,01:35,T,57,6.0NRT,299.3,20.9,D
-15.561,135.554,326.6,1.8,1.3,2020-12-10,01:40,T,30,6.0NRT,299.4,19,D
-16.578,128.623,329.7,1,1,2020-12-10,01:40,T,0,6.0NRT,306,18.8,D
-12.824,130.492,325.9,1,1,2020-12-10,01:40,T,77,6.0NRT,302.9,13.2,D
-14.97,133.495,339.5,1.3,1.1,2020-12-10,01:40,T,86,6.0NRT,305.3,34.6,D
-15.116,133.593,326.3,1.3,1.1,2020-12-10,01:40,T,37,6.0NRT,287.1,23.9,D
-15.118,133.605,323,1.3,1.1,2020-12-10,01:40,T,42,6.0NRT,282.2,17.9,D
-32.285,146.219,336.7,1.2,1.1,2020-12-10,04:20,A,81,6.0NRT,315.7,17.4,D
-32.283,146.232,344.1,1.2,1.1,2020-12-10,04:20,A,89,6.0NRT,319.6,34,D
-37.816,144.82,315.2,1,1,2020-12-10,04:20,A,38,6.0NRT,299.4,2.8,D
-15.746,143.752,349.3,1.6,1.3,2020-12-10,04:25,A,94,6.0NRT,302.5,85.8,D
-15.803,143.477,344.3,1.5,1.2,2020-12-10,04:25,A,90,6.0NRT,305.9,68.7,D
-15.801,143.491,335.8,1.5,1.2,2020-12-10,04:25,A,71,6.0NRT,305.3,42.7,D
-16.344,141.419,329,1.1,1.1,2020-12-10,04:25,A,35,6.0NRT,300.9,16.3,D
-16.348,141.415,336.3,1.1,1.1,2020-12-10,04:25,A,80,6.0NRT,301.7,26,D
-16.268,142.433,327.4,1.3,1.1,2020-12-10,04:25,A,49,6.0NRT,302.5,17.6,D
-16.403,144.841,328.6,1.9,1.3,2020-12-10,04:25,A,49,6.0NRT,303,30.8,D
-17.076,141.322,324.3,1.1,1.1,2020-12-10,04:25,A,35,6.0NRT,289,9.4,D
-17.222,141.317,326.2,1.1,1,2020-12-10,04:25,A,50,6.0NRT,290.3,11.4,D
-17.033,143.982,332.4,1.6,1.2,2020-12-10,04:25,A,65,6.0NRT,299.6,35.6,D
-17.03,143.997,329.7,1.6,1.2,2020-12-10,04:25,A,68,6.0NRT,294.4,30.3,D
-17.044,143.984,342.3,1.6,1.2,2020-12-10,04:25,A,87,6.0NRT,301.7,65.1,D
-17.041,143.999,336,1.6,1.2,2020-12-10,04:25,A,80,6.0NRT,296.4,45.2,D
-17.031,143.987,335.3,1.6,1.2,2020-12-10,04:25,A,78,6.0NRT,299.7,42.8,D
-17.045,143.975,327.3,1.6,1.2,2020-12-10,04:25,A,32,6.0NRT,301,22.3,D
-17.042,143.989,361.7,1.6,1.2,2020-12-10,04:25,A,100,6.0NRT,301.8,151.6,D
-17.647,142.965,348.2,1.3,1.1,2020-12-10,04:25,A,92,6.0NRT,305.8,59.8,D
-17.645,142.977,355.2,1.3,1.1,2020-12-10,04:25,A,97,6.0NRT,309.8,83.4,D
-18.01,142.74,353.4,1.3,1.1,2020-12-10,04:25,A,95,6.0NRT,310.5,73.7,D
-17.966,143.073,356.5,1.3,1.1,2020-12-10,04:25,A,97,6.0NRT,303,90.4,D
-18.293,142.313,344.1,1.2,1.1,2020-12-10,04:25,A,86,6.0NRT,309.8,41.8,D
-18.291,142.325,345.7,1.2,1.1,2020-12-10,04:25,A,88,6.0NRT,309.7,46.9,D
-18.467,142.127,339.3,1.2,1.1,2020-12-10,04:25,A,75,6.0NRT,295.5,31.9,D
-18.632,141.918,334.4,1.1,1.1,2020-12-10,04:25,A,65,6.0NRT,295.5,21.6,D
-18.655,142.162,333.7,1.2,1.1,2020-12-10,04:25,A,69,6.0NRT,293.6,20.6,D
-18.675,142.996,340.4,1.3,1.1,2020-12-10,04:25,A,38,6.0NRT,309.2,28,D
-18.685,142.998,347.6,1.3,1.1,2020-12-10,04:25,A,91,6.0NRT,307.8,48.6,D
-19.042,141.519,350.1,1.1,1,2020-12-10,04:25,A,84,6.0NRT,311.6,46.8,D
-19.631,139.912,316.8,1,1,2020-12-10,04:25,A,21,6.0NRT,279.5,9.7,D
