latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.417,145.138,328.8,1.3,1.1,2020-12-22,00:25,T,56,6.0NRT,298.3,22.2,D
-20.036,148.285,318.6,1,1,2020-12-22,00:25,T,61,6.0NRT,300,9.4,D
-22.26,147.124,329.1,1,1,2020-12-22,00:25,T,55,6.0NRT,301.1,11.5,D
-24.728,153.246,333.6,2.1,1.4,2020-12-22,00:25,T,0,6.0NRT,298.7,75.9,D
-13.575,143.468,317,1.8,1.3,2020-12-22,00:25,T,28,6.0NRT,296.2,17,D
-15.413,145.144,327,1.3,1.1,2020-12-22,00:25,T,55,6.0NRT,301.7,18.4,D
-16.043,145.104,324.7,1.3,1.1,2020-12-22,00:25,T,68,6.0NRT,299.2,16.7,D
-23.455,149.804,319.7,3.3,1.7,2020-12-22,03:10,A,58,6.0NRT,294.6,51.5,D
-22.778,147.98,316.5,4.4,1.9,2020-12-22,03:10,A,0,6.0NRT,291.1,73.4,D
-20.156,148.488,311.3,3.8,1.8,2020-12-22,03:10,A,18,6.0NRT,293.5,40.7,D
-24.948,150.754,321.5,3,1.6,2020-12-22,03:10,A,33,6.0NRT,299.6,43.7,D
-16.545,143.883,336.2,4.6,2,2020-12-22,04:50,A,85,6.0NRT,294.8,209.3,D
-16.553,143.841,336.2,4.5,2,2020-12-22,04:50,A,85,6.0NRT,297.6,204.4,D
-16.545,143.891,328.8,4.6,2,2020-12-22,04:50,A,66,6.0NRT,293.9,119.8,D
-16.536,143.845,324.5,4.5,2,2020-12-22,04:50,A,39,6.0NRT,296.8,68.9,D
-16.554,143.849,347.7,4.5,2,2020-12-22,04:50,A,93,6.0NRT,297.6,386.8,D
-20.345,142.999,334.4,3.3,1.7,2020-12-22,04:50,A,86,6.0NRT,295.6,93.9,D
-29.75,115.108,356.6,1.3,1.1,2020-12-22,06:25,A,97,6.0NRT,328.6,67.9,D
-31.397,115.798,358.7,1.3,1.1,2020-12-22,06:25,A,93,6.0NRT,322.5,85.6,D
-34.458,150.879,303.6,1.2,1.1,2020-12-22,12:30,T,56,6.0NRT,285.4,9.7,N
-24.719,153.248,312.8,1,1,2020-12-22,12:35,T,86,6.0NRT,294.7,9.6,N
-16.148,143.69,304.7,2.1,1.4,2020-12-22,12:35,T,23,6.0NRT,288.7,22.4,N
-16.161,143.692,321.8,2.1,1.4,2020-12-22,12:35,T,100,6.0NRT,289.3,61.9,N
-16.032,145.089,309.3,1.6,1.3,2020-12-22,12:35,T,77,6.0NRT,291.8,13.5,N
-16.043,145.091,326.2,1.6,1.3,2020-12-22,12:35,T,100,6.0NRT,292.2,44.2,N
-20.543,148.338,305.8,1.2,1.1,2020-12-22,12:35,T,34,6.0NRT,293,5.7,N
-20.554,148.328,304.6,1.2,1.1,2020-12-22,12:35,T,14,6.0NRT,293.2,5.3,N
-24.728,153.25,307.9,1,1,2020-12-22,12:35,T,73,6.0NRT,294.7,6.5,N
-25.214,151.425,300.3,1,1,2020-12-22,12:35,T,8,6.0NRT,285.9,4,N
-15.398,145.142,305.5,1.6,1.2,2020-12-22,12:40,T,65,6.0NRT,292.6,8.9,N
-30.871,121.477,304.8,2.1,1.4,2020-12-22,14:10,T,61,6.0NRT,293,18.8,N
-30.867,121.505,310.5,2.1,1.4,2020-12-22,14:10,T,80,6.0NRT,292.9,28.8,N
-30.869,121.483,313.3,2.1,1.4,2020-12-22,14:10,T,87,6.0NRT,293,35.9,N
-30.869,121.5,315.5,2.1,1.4,2020-12-22,14:10,T,91,6.0NRT,293.2,41.8,N
-13.783,123.31,306.9,1.1,1,2020-12-22,14:15,T,49,6.0NRT,280.9,7,N
-13.791,123.321,312.5,1,1,2020-12-22,14:15,T,79,6.0NRT,281.5,11.1,N
-13.793,123.312,305.3,1.1,1,2020-12-22,14:15,T,23,6.0NRT,280.1,5.9,N
-13.782,123.32,314.3,1,1,2020-12-22,14:15,T,85,6.0NRT,280.2,12.8,N
-16.038,145.094,308.8,1,1,2020-12-22,15:45,A,54,6.0NRT,292.3,6.1,N
-16.549,143.899,318.4,1,1,2020-12-22,15:45,A,85,6.0NRT,288.6,17.1,N
-20.133,142.753,305.4,1.1,1,2020-12-22,15:45,A,64,6.0NRT,288.2,5.8,N
-13.787,123.322,343,1.1,1.1,2020-12-22,17:20,A,100,6.0NRT,289.7,56.8,N
-31.394,115.8,309,1,1,2020-12-22,17:25,A,76,6.0NRT,294.8,8.9,N
-30.86,121.487,315,1.4,1.2,2020-12-22,17:25,A,90,6.0NRT,291.2,23.8,N
-30.862,121.502,317.6,1.4,1.2,2020-12-22,17:25,A,95,6.0NRT,291.5,27.7,N
-31.393,115.79,306,1,1,2020-12-22,17:25,A,66,6.0NRT,294.1,7,N
-34.46,150.879,314.2,1.9,1.3,2020-12-22,23:35,T,48,6.0NRT,298.3,12.2,D
