latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-21.428,143.001,310.7,2.8,1.6,2020-12-30,01:15,T,36,6.0NRT,291.4,25.7,D
-20.009,142.079,315.6,2.3,1.5,2020-12-30,01:15,T,29,6.0NRT,292.9,29,D
-20.537,143.099,314.5,2.8,1.6,2020-12-30,01:15,T,14,6.0NRT,292.7,27.7,D
-20.797,141.933,311.8,2.3,1.5,2020-12-30,01:15,T,24,6.0NRT,292.4,19.9,D
-20.662,139.878,344.2,1.6,1.2,2020-12-30,01:15,T,92,6.0NRT,295.2,85.9,D
-20.664,139.894,320,1.6,1.2,2020-12-30,01:15,T,71,6.0NRT,294.5,19.4,D
-21.152,142.627,309.6,2.6,1.5,2020-12-30,01:15,T,43,6.0NRT,291.1,23.6,D
-21.744,115.709,335.6,1.8,1.3,2020-12-30,02:55,T,41,6.0NRT,311.7,29.1,D
-31.405,115.798,338.5,2.5,1.5,2020-12-30,02:55,T,83,6.0NRT,311.2,94,D
-21.826,116.433,336.6,2.1,1.4,2020-12-30,02:55,T,72,6.0NRT,313.2,41,D
-21.709,116.198,331.8,2,1.4,2020-12-30,02:55,T,32,6.0NRT,309.1,29.8,D
-20.825,117.746,336.9,2.5,1.5,2020-12-30,02:55,T,80,6.0NRT,301.7,71.4,D
-20.22,138.854,325.3,2.4,1.5,2020-12-30,04:00,A,59,6.0NRT,297.2,47.8,D
-19.849,139.904,320.8,2,1.4,2020-12-30,04:00,A,47,6.0NRT,297.1,23,D
-19.862,139.905,330.9,2,1.4,2020-12-30,04:00,A,79,6.0NRT,297.5,53,D
-26.495,147.524,332.3,1,1,2020-12-30,04:00,A,78,6.0NRT,310.1,11.3,D
-26.496,147.514,331.5,1,1,2020-12-30,04:00,A,77,6.0NRT,310,10.3,D
-26.486,147.523,332.5,1,1,2020-12-30,04:00,A,69,6.0NRT,308.7,12.1,D
-26.487,147.513,333.9,1,1,2020-12-30,04:00,A,80,6.0NRT,309.1,13.5,D
-20.759,119.678,351.3,1.1,1,2020-12-30,05:40,A,93,6.0NRT,315.6,41.1,D
-21.456,114.997,315.3,2.1,1.4,2020-12-30,05:40,A,63,6.0NRT,302,24,D
-27.457,120.118,342.4,1.2,1.1,2020-12-30,05:40,A,78,6.0NRT,313.8,35.5,D
-20.62,119.534,351.1,1.1,1,2020-12-30,05:40,A,93,6.0NRT,303.6,55.1,D
-20.628,119.546,350.2,1.1,1,2020-12-30,05:40,A,92,6.0NRT,308,50.5,D
-20.758,119.688,360.5,1.1,1,2020-12-30,05:40,A,100,6.0NRT,314,67.3,D
-26.097,145.812,304.3,1.8,1.3,2020-12-30,13:25,T,60,6.0NRT,292.5,9,N
-20.7,139.884,308.3,1,1,2020-12-30,13:25,T,67,6.0NRT,295.7,5.7,N
-20.243,138.868,308,1,1,2020-12-30,13:25,T,70,6.0NRT,295.1,5.7,N
-32.329,116.238,315.7,1,1,2020-12-30,15:00,T,92,6.0NRT,295,13.7,N
-20.812,117.744,314.1,1.4,1.2,2020-12-30,15:05,T,88,6.0NRT,296.3,13.9,N
-20.822,117.746,309.1,1.4,1.2,2020-12-30,15:05,T,76,6.0NRT,296.2,8.3,N
-20.732,139.479,303.6,2.6,1.5,2020-12-30,16:35,A,56,6.0NRT,284.9,19.6,N
-20.727,139.487,304.5,2.6,1.5,2020-12-30,16:35,A,60,6.0NRT,285.1,21.5,N
-18.137,178.445,311,1.5,1.2,2020-12-30,22:40,T,0,6.0NRT,290.6,11.4,D
