latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-21.987,140.464,329.5,1,1,2021-01-26,00:55,T,32,6.0NRT,293.3,8.5,D
-16.605,145.38,317.6,1.6,1.3,2021-01-26,00:55,T,77,6.0NRT,275.8,29.6,D
-19.769,147.34,322.5,2.5,1.5,2021-01-26,00:55,T,71,6.0NRT,296.4,51.2,D
-20.612,145.932,319.8,2,1.4,2021-01-26,00:55,T,56,6.0NRT,302.6,15.4,D
-20.614,145.926,320.2,2,1.4,2021-01-26,00:55,T,51,6.0NRT,302.5,15,D
-21.951,140.465,342.2,1,1,2021-01-26,00:55,T,79,6.0NRT,303.1,28.4,D
-21.953,140.475,345.9,1,1,2021-01-26,00:55,T,81,6.0NRT,304.4,35.5,D
-21.958,140.458,343.2,1,1,2021-01-26,00:55,T,86,6.0NRT,304.4,32.4,D
-21.959,140.468,388,1,1,2021-01-26,00:55,T,100,6.0NRT,308.3,179.4,D
-21.961,140.478,337.7,1,1,2021-01-26,00:55,T,61,6.0NRT,304.2,22.9,D
-21.967,140.457,337,1,1,2021-01-26,00:55,T,65,6.0NRT,300,20.8,D
-21.969,140.467,350.3,1,1,2021-01-26,00:55,T,92,6.0NRT,301,46.6,D
-21.976,140.455,336,1,1,2021-01-26,00:55,T,75,6.0NRT,295.2,18.3,D
-21.985,140.454,338.8,1,1,2021-01-26,00:55,T,75,6.0NRT,298.5,21.3,D
-22.045,118.896,344.3,1.5,1.2,2021-01-26,02:35,T,87,6.0NRT,316,52.4,D
-20.062,119.774,326.4,1.6,1.2,2021-01-26,02:35,T,23,6.0NRT,289.9,28.9,D
-22.056,118.894,364.5,1.5,1.2,2021-01-26,02:35,T,100,6.0NRT,319.5,135.9,D
-25.583,151.09,348.4,1,1,2021-01-26,03:40,A,92,6.0NRT,319.2,33.4,D
-23.008,147.481,335.2,1.4,1.2,2021-01-26,03:40,A,69,6.0NRT,307.9,25.7,D
-22.972,150.713,345.7,1,1,2021-01-26,03:40,A,91,6.0NRT,302.7,42.9,D
-22.995,150.747,328.3,1,1,2021-01-26,03:40,A,42,6.0NRT,306.1,11.9,D
-23.259,150.232,333.8,1,1,2021-01-26,03:40,A,66,6.0NRT,310.3,17.3,D
-23.268,150.234,331.8,1,1,2021-01-26,03:40,A,68,6.0NRT,306.5,13.9,D
-24.896,152.116,339.8,1,1,2021-01-26,03:40,A,85,6.0NRT,305.3,29.4,D
-24.895,152.126,327,1,1,2021-01-26,03:40,A,50,6.0NRT,303.8,11.8,D
-25.171,151.478,356,1,1,2021-01-26,03:40,A,97,6.0NRT,304.8,59.3,D
-25.17,151.488,354.8,1,1,2021-01-26,03:40,A,97,6.0NRT,308.4,55.3,D
-25.169,151.498,343.5,1,1,2021-01-26,03:40,A,78,6.0NRT,307.5,30.1,D
-25.219,151.466,365.4,1,1,2021-01-26,03:40,A,100,6.0NRT,314.1,82.4,D
-25.574,151.088,345.8,1,1,2021-01-26,03:40,A,90,6.0NRT,319,29.8,D
-25.598,151.051,369.5,1,1,2021-01-26,03:40,A,100,6.0NRT,320,94.9,D
-25.596,151.061,352.7,1,1,2021-01-26,03:40,A,95,6.0NRT,318.6,45.2,D
-25.607,151.052,338.1,1,1,2021-01-26,03:40,A,80,6.0NRT,317.7,17.2,D
-25.605,151.062,334.5,1,1,2021-01-26,03:40,A,56,6.0NRT,312,10.3,D
-25.604,151.072,332.8,1,1,2021-01-26,03:40,A,42,6.0NRT,314.2,6.9,D
-26.178,151.175,328.7,1,1,2021-01-26,03:40,A,57,6.0NRT,313,9.5,D
-26.22,151.676,333,1,1,2021-01-26,03:40,A,80,6.0NRT,311.8,19.2,D
-26.157,152.115,325.1,1,1,2021-01-26,03:40,A,66,6.0NRT,306.2,11.9,D
-27.063,151.75,332.8,1,1,2021-01-26,03:40,A,78,6.0NRT,308.7,18.1,D
-28.586,150.555,336.2,1.1,1,2021-01-26,03:40,A,70,6.0NRT,314.3,20.1,D
-28.585,150.566,333.1,1.1,1,2021-01-26,03:40,A,47,6.0NRT,312.4,13.6,D
-31.948,152.119,326.6,1,1,2021-01-26,03:40,A,75,6.0NRT,306.2,15.1,D
-20.031,147.019,325.3,1.3,1.1,2021-01-26,03:40,A,73,6.0NRT,299.8,18.6,D
-20.398,146.447,318,1.5,1.2,2021-01-26,03:40,A,30,6.0NRT,297.9,12.4,D
-21.522,145.226,341.1,1.9,1.3,2021-01-26,03:40,A,85,6.0NRT,309.5,64.6,D
-21.526,145.231,346.6,1.9,1.3,2021-01-26,03:40,A,90,6.0NRT,311,92.8,D
-21.676,148.883,325.4,1.1,1.1,2021-01-26,03:40,A,22,6.0NRT,305.6,12.4,D
-21.7,148.995,324.1,1.1,1,2021-01-26,03:40,A,51,6.0NRT,301.7,12.4,D
-21.827,149.06,322.7,1.1,1,2021-01-26,03:40,A,52,6.0NRT,304.3,10.5,D
-22.308,147.832,324.9,1.3,1.1,2021-01-26,03:40,A,47,6.0NRT,306.3,11.2,D
-22.279,149.471,329.5,1.1,1,2021-01-26,03:40,A,75,6.0NRT,304.5,15.3,D
-22.289,149.472,327.7,1.1,1,2021-01-26,03:40,A,70,6.0NRT,304.3,13,D
-23.002,147.473,331.4,1.4,1.2,2021-01-26,03:40,A,57,6.0NRT,306.6,19.1,D
-23,147.487,331,1.4,1.2,2021-01-26,03:40,A,44,6.0NRT,308,18.2,D
-22.051,118.912,335.6,2.5,1.5,2021-01-26,05:20,A,70,6.0NRT,317.7,40.9,D
-22.06,118.896,349.7,2.5,1.5,2021-01-26,05:20,A,91,6.0NRT,320.8,137.3,D
-31.54,119.949,345.5,2.7,1.6,2021-01-26,05:20,A,91,6.0NRT,299,194.5,D
-31.538,119.978,331.5,2.7,1.6,2021-01-26,05:20,A,69,6.0NRT,287.6,94.8,D
-31.555,119.95,392.6,2.7,1.6,2021-01-26,05:20,A,94,6.0NRT,300.9,885.8,D
-31.552,119.979,366.5,2.7,1.6,2021-01-26,05:20,A,87,6.0NRT,286.3,418.1,D
-22.058,118.92,332.9,2.5,1.5,2021-01-26,05:20,A,51,6.0NRT,316.6,26.9,D
-22.046,118.894,343.8,2.5,1.5,2021-01-26,05:20,A,85,6.0NRT,320.5,93.1,D
-21.671,148.871,303.4,1.7,1.3,2021-01-26,13:05,T,51,6.0NRT,292.3,9.4,N
-28.008,148.85,310,1.3,1.1,2021-01-26,13:05,T,79,6.0NRT,293.4,12,N
-27.987,148.866,306.2,1.3,1.1,2021-01-26,13:05,T,67,6.0NRT,293.1,7.4,N
-25.574,146.441,313.1,1.1,1,2021-01-26,13:05,T,41,6.0NRT,291.5,14,N
