latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.097,143.915,328.7,1.8,1.3,2020-12-16,01:00,T,72,6.0NRT,303.5,29.5,D
-20.102,143.907,328.8,1.8,1.3,2020-12-16,01:00,T,70,6.0NRT,303.6,29.9,D
-20.991,144.823,332.8,2.2,1.4,2020-12-16,01:05,T,73,6.0NRT,309.5,30.6,D
-20.981,144.846,335.6,2.2,1.4,2020-12-16,01:05,T,78,6.0NRT,308.5,44.9,D
-20.994,144.844,346.7,2.2,1.4,2020-12-16,01:05,T,90,6.0NRT,309.1,105.3,D
-21.007,144.843,332.9,2.2,1.4,2020-12-16,01:05,T,73,6.0NRT,309,31.9,D
-36.939,174.886,320.8,1.2,1.1,2020-12-16,02:05,A,45,6.0NRT,306.3,9,D
-36.993,175.122,315.1,1.2,1.1,2020-12-16,02:05,A,63,6.0NRT,296.9,12.8,D
-36.995,175.109,311,1.2,1.1,2020-12-16,02:05,A,41,6.0NRT,298.8,8.7,D
-31.905,115.811,322.7,1.6,1.2,2020-12-16,02:45,T,58,6.0NRT,304.2,15.1,D
-31.987,115.948,324,1.6,1.2,2020-12-16,02:45,T,46,6.0NRT,304.2,12.3,D
-32.064,115.92,324.2,1.6,1.2,2020-12-16,02:45,T,72,6.0NRT,303.4,14,D
-32.063,115.913,324,1.6,1.2,2020-12-16,02:45,T,46,6.0NRT,303.2,13.3,D
-32.097,115.806,321,1.6,1.2,2020-12-16,02:45,T,31,6.0NRT,304.2,10.5,D
-29.799,115.12,342,1.3,1.1,2020-12-16,02:45,T,84,6.0NRT,314.8,40.2,D
-29.801,115.134,341.2,1.3,1.1,2020-12-16,02:45,T,83,6.0NRT,320.9,38.4,D
-29.796,115.128,349.7,1.3,1.1,2020-12-16,02:45,T,92,6.0NRT,319.5,62,D
-29.804,115.014,346,1.3,1.1,2020-12-16,02:45,T,89,6.0NRT,311,60.6,D
-31.794,115.833,321.8,1.6,1.2,2020-12-16,02:45,T,42,6.0NRT,304.5,12.2,D
-31.857,115.892,321.7,1.6,1.2,2020-12-16,02:45,T,62,6.0NRT,304.8,9.8,D
-32.109,115.804,323.2,1.6,1.2,2020-12-16,02:45,T,53,6.0NRT,305.7,15,D
-25.707,152.19,325.2,1.1,1,2020-12-16,03:45,A,65,6.0NRT,301.6,11.7,D
-27.388,150.851,332.1,1,1,2020-12-16,03:45,A,67,6.0NRT,303.9,15.4,D
