latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-34.758,145.926,321.8,1.6,1.2,2020-12-19,00:00,T,36,6.0NRT,304.2,13.7,D
-34.653,146.104,320.1,1.5,1.2,2020-12-19,00:00,T,55,6.0NRT,304.8,13.3,D
-34.661,146.084,326.1,1.5,1.2,2020-12-19,00:00,T,74,6.0NRT,305.9,22.7,D
-34.769,145.923,328.1,1.6,1.2,2020-12-19,00:00,T,70,6.0NRT,305.7,27.3,D
-37.409,148.324,302.7,1.1,1,2020-12-19,00:00,T,20,6.0NRT,290.3,3,D
-34.589,116.425,306.6,3.1,1.7,2020-12-19,01:40,T,38,6.0NRT,291.4,29,D
-19.533,169.443,337,1.3,1.1,2020-12-19,02:40,A,66,6.0NRT,304.9,46.1,D
-25.133,148.931,330.9,1.9,1.4,2020-12-19,04:15,A,71,6.0NRT,303.7,39.7,D
-27.021,151.664,322.7,2.7,1.6,2020-12-19,04:15,A,25,6.0NRT,300.9,41.8,D
-26.835,148.262,341.8,1.6,1.2,2020-12-19,04:15,A,62,6.0NRT,309.1,52.3,D
-25.13,148.926,327.5,1.9,1.4,2020-12-19,04:15,A,63,6.0NRT,303.7,27.7,D
-24.847,148.258,335.4,1.7,1.3,2020-12-19,04:20,A,77,6.0NRT,306.5,46.5,D
-14.61,143.968,330.1,1.4,1.2,2020-12-19,04:20,A,51,6.0NRT,301.9,21.3,D
-16.394,145.113,347.9,1.5,1.2,2020-12-19,04:20,A,93,6.0NRT,308.6,71.2,D
-16.396,145.104,332.2,1.5,1.2,2020-12-19,04:20,A,60,6.0NRT,309,21.9,D
-16.394,145.118,348.7,1.5,1.2,2020-12-19,04:20,A,93,6.0NRT,308,75.1,D
-17.588,143.26,333.2,1.1,1.1,2020-12-19,04:20,A,77,6.0NRT,303,21.3,D
-17.592,144.835,335.6,1.4,1.2,2020-12-19,04:20,A,83,6.0NRT,304.1,30.2,D
-18.126,144.888,330.1,1.4,1.2,2020-12-19,04:20,A,43,6.0NRT,304.4,23.9,D
-19.07,140.372,346.9,1,1,2020-12-19,04:20,A,78,6.0NRT,299.2,41.5,D
-19.408,146.308,337,1.6,1.3,2020-12-19,04:20,A,83,6.0NRT,298,45.8,D
-19.419,146.311,344.8,1.6,1.3,2020-12-19,04:20,A,90,6.0NRT,307.2,70.7,D
-19.421,146.302,335.6,1.6,1.3,2020-12-19,04:20,A,77,6.0NRT,306.5,36.9,D
-19.418,146.317,343,1.6,1.3,2020-12-19,04:20,A,89,6.0NRT,307.1,60,D
-20.868,147.462,332.2,1.8,1.3,2020-12-19,04:20,A,67,6.0NRT,303.3,30.1,D
-21.17,148.356,327.2,2.1,1.4,2020-12-19,04:20,A,70,6.0NRT,298.5,35,D
-21.169,148.361,327.9,2.1,1.4,2020-12-19,04:20,A,69,6.0NRT,298.7,36.4,D
-22.238,149.42,346.4,2.4,1.5,2020-12-19,04:20,A,91,6.0NRT,301,145,D
-22.251,149.423,348.7,2.4,1.5,2020-12-19,04:20,A,93,6.0NRT,299.9,161.9,D
-24.49,145.582,356.8,1.2,1.1,2020-12-19,04:20,A,97,6.0NRT,321.8,53.1,D
-24.804,148.314,328.8,1.8,1.3,2020-12-19,04:20,A,58,6.0NRT,308,22.5,D
-24.802,148.302,330.4,1.8,1.3,2020-12-19,04:20,A,52,6.0NRT,308.7,26.8,D
-24.799,148.32,328.2,1.8,1.3,2020-12-19,04:20,A,51,6.0NRT,307.3,20.6,D
-31.866,115.903,330.6,1.3,1.1,2020-12-19,05:55,A,43,6.0NRT,310.6,11.9,D
-32.038,115.998,330,1.3,1.1,2020-12-19,05:55,A,10,6.0NRT,311.5,15,D
-34.537,116.458,326.8,1.3,1.1,2020-12-19,05:55,A,40,6.0NRT,295.9,27.5,D
-34.577,116.457,350.7,1.3,1.1,2020-12-19,05:55,A,61,6.0NRT,298.8,79.3,D
-34.587,116.459,337.5,1.3,1.1,2020-12-19,05:55,A,47,6.0NRT,297.6,47.6,D
-34.527,116.456,325.7,1.3,1.1,2020-12-19,05:55,A,65,6.0NRT,295.3,27.3,D
-32.068,115.919,331.4,1.3,1.1,2020-12-19,05:55,A,56,6.0NRT,310,13.3,D
-25.465,150.881,303.4,3,1.7,2020-12-19,12:05,T,55,6.0NRT,292.7,19.5,N
-27.97,150.458,304.5,3.4,1.7,2020-12-19,12:05,T,60,6.0NRT,292.7,22.1,N
-27.979,150.464,306.5,3.4,1.7,2020-12-19,12:05,T,68,6.0NRT,292.7,29.2,N
-26.134,145.796,307.4,1.5,1.2,2020-12-19,15:15,A,71,6.0NRT,296,8.7,N
-26.833,148.275,318,1.1,1,2020-12-19,15:15,A,96,6.0NRT,295,15.8,N
-26.844,148.284,306.6,1.1,1,2020-12-19,15:15,A,68,6.0NRT,294.8,6.4,N
-27.974,150.475,314.4,1,1,2020-12-19,15:15,A,89,6.0NRT,293.9,11.3,N
-28.307,150.422,334.3,1,1,2020-12-19,15:15,A,100,6.0NRT,295.2,33.5,N
-20.632,148.263,305,1.3,1.1,2020-12-19,15:15,A,39,6.0NRT,292.9,9.1,N
-26.134,145.803,308.3,1.5,1.2,2020-12-19,15:15,A,74,6.0NRT,296.1,9.2,N
-26.828,148.281,317.9,1.1,1,2020-12-19,15:15,A,96,6.0NRT,294.8,15.5,N
-26.843,148.273,307.4,1.1,1,2020-12-19,15:15,A,71,6.0NRT,294.8,6.9,N
-34.551,116.465,310.5,1.2,1.1,2020-12-19,15:20,T,56,6.0NRT,286.9,15.9,N
-34.542,116.463,308.4,1.2,1.1,2020-12-19,15:20,T,72,6.0NRT,286.7,14.1,N
-30.864,121.498,310.7,1.2,1.1,2020-12-19,16:55,A,81,6.0NRT,292.4,13.4,N
-30.865,121.492,311.4,1.2,1.1,2020-12-19,16:55,A,83,6.0NRT,292.5,14.1,N
-19.528,169.444,343,1,1,2020-12-19,23:00,T,65,6.0NRT,303.7,43,D
-19.53,169.453,340.1,1,1,2020-12-19,23:00,T,85,6.0NRT,299.3,38.3,D
