latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-37.17336,174.87637,367,0.34,0.56,2021-01-30,01:24,N,high,1.0NRT,306.1,12.5,D
-39.19796,174.82735,328.3,0.35,0.57,2021-01-30,01:24,N,nominal,1.0NRT,292.4,2.1,D
-37.20421,174.72252,338.2,0.35,0.56,2021-01-30,01:24,N,nominal,1.0NRT,304.7,1.8,D
-37.20952,174.72296,328.3,0.35,0.56,2021-01-30,01:24,N,low,1.0NRT,302.3,1.8,D
-45.96323,168.45926,329.7,0.48,0.4,2021-01-30,03:06,N,nominal,1.0NRT,294.8,3.5,D
-43.11506,172.71494,332.5,0.55,0.51,2021-01-30,03:06,N,nominal,1.0NRT,298.3,4.1,D
-39.19939,174.8313,336,0.44,0.62,2021-01-30,03:06,N,nominal,1.0NRT,293.6,2.6,D
-37.17469,174.87697,338.3,0.5,0.66,2021-01-30,03:06,N,nominal,1.0NRT,298.6,3.5,D
-27.586,149.14276,343,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,302.8,9.1,D
-27.57147,149.1413,334.1,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,302.5,4.8,D
-27.27463,150.38155,345.6,0.47,0.48,2021-01-30,03:12,N,nominal,1.0NRT,303.9,4.6,D
-23.77617,150.0419,339.5,0.45,0.47,2021-01-30,03:12,N,nominal,1.0NRT,302.6,13,D
-29.01289,151.44649,336.5,0.43,0.46,2021-01-30,03:12,N,low,1.0NRT,310,5.1,D
-29.19132,149.22839,336.5,0.58,0.52,2021-01-30,03:12,N,low,1.0NRT,308.9,7.6,D
-28.23634,148.50972,330.4,0.63,0.54,2021-01-30,03:12,N,nominal,1.0NRT,287.8,13.6,D
-23.55687,146.45872,353.5,0.38,0.58,2021-01-30,03:12,N,nominal,1.0NRT,298.5,6.2,D
-27.58919,149.16096,332.7,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,300.6,7.8,D
-27.58974,149.15508,340.9,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,303.3,7.8,D
-27.58545,149.14865,353.3,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,303.3,9.1,D
-26.09431,148.38959,338.2,0.61,0.53,2021-01-30,03:12,N,nominal,1.0NRT,305.6,7.1,D
-26.09417,148.39415,338.5,0.61,0.53,2021-01-30,03:12,N,nominal,1.0NRT,306.8,14.7,D
-22.31123,166.94797,350.9,0.41,0.6,2021-01-30,03:12,N,nominal,1.0NRT,298.6,8.9,D
-22.30866,166.94577,353.6,0.41,0.6,2021-01-30,03:12,N,nominal,1.0NRT,296.6,8.1,D
-22.04294,166.25647,367,0.37,0.58,2021-01-30,03:12,N,high,1.0NRT,298.1,11.6,D
-22.04213,166.26012,330.6,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,297.1,15.7,D
-22.03756,166.25529,367,0.37,0.58,2021-01-30,03:12,N,high,1.0NRT,298.3,11.6,D
-22.03835,166.25177,351.8,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,298.3,11.6,D
-22.033,166.25046,367,0.37,0.58,2021-01-30,03:12,N,high,1.0NRT,300,9.4,D
-22.03222,166.25394,337.2,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,298.6,9.4,D
-22.02767,166.24902,354.3,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,297.1,9.4,D
-22.03666,166.25327,367,0.37,0.58,2021-01-30,03:12,N,high,1.0NRT,299.1,10.6,D
-22.03742,166.24974,333.1,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,296.4,10.6,D
-22.03131,166.25189,367,0.37,0.58,2021-01-30,03:12,N,high,1.0NRT,298.8,10.6,D
-22.03207,166.2484,356.1,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,297.8,10.6,D
-22.02675,166.24695,340.9,0.37,0.58,2021-01-30,03:12,N,nominal,1.0NRT,296,4.2,D
-23.78436,150.04768,367,0.45,0.47,2021-01-30,03:12,N,high,1.0NRT,303.8,9.2,D
-23.78486,150.04315,342.9,0.45,0.47,2021-01-30,03:12,N,nominal,1.0NRT,301,9.2,D
-23.78052,150.04251,367,0.45,0.47,2021-01-30,03:12,N,high,1.0NRT,295.8,13,D
-23.78102,150.03799,341.5,0.45,0.47,2021-01-30,03:12,N,nominal,1.0NRT,302.5,9.3,D
-23.6898,150.72809,349.9,0.41,0.45,2021-01-30,03:12,N,nominal,1.0NRT,298.5,6.3,D
-23.76964,148.40892,353.3,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,304.4,6.9,D
-23.77177,148.40694,339.8,0.57,0.52,2021-01-30,03:12,N,nominal,1.0NRT,304.4,9.1,D
-23.96279,146.00259,367,0.41,0.6,2021-01-30,03:12,N,high,1.0NRT,299.9,7.4,D
-23.22296,149.86415,344.3,0.46,0.47,2021-01-30,03:12,N,nominal,1.0NRT,303.2,5.8,D
-23.22344,149.8598,332.3,0.46,0.47,2021-01-30,03:12,N,nominal,1.0NRT,302.1,5.8,D
-18.15798,144.41324,331.4,0.44,0.62,2021-01-30,03:12,N,nominal,1.0NRT,294.4,5.5,D
-18.15761,144.4126,330.8,0.44,0.63,2021-01-30,03:12,N,nominal,1.0NRT,295.5,5.3,D
-18.84153,145.19958,344.7,0.4,0.6,2021-01-30,03:12,N,nominal,1.0NRT,298.9,5.7,D
-18.84114,145.20349,367,0.4,0.6,2021-01-30,03:12,N,high,1.0NRT,299.1,11.2,D
-18.84713,145.20012,338.4,0.4,0.6,2021-01-30,03:12,N,nominal,1.0NRT,298.9,5.7,D
-18.84675,145.20401,346.1,0.4,0.6,2021-01-30,03:12,N,nominal,1.0NRT,298.8,11.2,D
-19.05932,144.58794,331.3,0.44,0.62,2021-01-30,03:12,N,nominal,1.0NRT,297.7,2.8,D
-19.06362,144.59207,336.3,0.44,0.62,2021-01-30,03:12,N,nominal,1.0NRT,298.4,3,D
-20.16318,147.79456,340.5,0.56,0.52,2021-01-30,03:12,N,nominal,1.0NRT,300.6,8.1,D
-20.16258,147.80008,332.7,0.56,0.52,2021-01-30,03:12,N,nominal,1.0NRT,298.8,4.2,D
-21.15877,148.05678,350.9,0.56,0.51,2021-01-30,03:12,N,nominal,1.0NRT,303.1,13.6,D
-21.15849,148.05919,352.1,0.56,0.51,2021-01-30,03:12,N,nominal,1.0NRT,298.6,12.5,D
-21.52664,145.20564,340.7,0.43,0.62,2021-01-30,03:12,N,nominal,1.0NRT,301,5.3,D
-21.52625,145.2099,347.2,0.43,0.62,2021-01-30,03:12,N,nominal,1.0NRT,301.4,5.3,D
-21.52469,145.22684,354.1,0.43,0.62,2021-01-30,03:12,N,nominal,1.0NRT,305.1,12.4,D
-21.5243,145.23108,335.2,0.43,0.62,2021-01-30,03:12,N,nominal,1.0NRT,302.9,8.3,D
-21.23498,148.11337,338.3,0.55,0.51,2021-01-30,03:12,N,nominal,1.0NRT,300.6,4.3,D
-21.53007,145.23163,335.5,0.43,0.62,2021-01-30,03:12,N,nominal,1.0NRT,303.4,4.5,D
-21.33566,148.50581,337.3,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,300.4,9.7,D
-21.37043,148.51642,337.6,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,304,13.1,D
-21.41211,148.39461,342.8,0.53,0.5,2021-01-30,03:12,N,nominal,1.0NRT,299.4,7.1,D
-21.42035,148.4062,335.4,0.53,0.5,2021-01-30,03:12,N,nominal,1.0NRT,298.1,5.6,D
-21.41917,148.41693,336.6,0.53,0.5,2021-01-30,03:12,N,nominal,1.0NRT,298.9,3.6,D
-21.44971,148.63353,332.7,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,301,4.7,D
-21.4855,148.56342,330,0.52,0.5,2021-01-30,03:12,N,low,1.0NRT,302.9,4,D
-21.49016,148.56393,344.3,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,305.6,10.6,D
-21.49833,148.57524,333.6,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,303.5,6,D
-21.49718,148.58563,338.5,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,306.7,8,D
-21.49661,148.59084,342.5,0.52,0.5,2021-01-30,03:12,N,nominal,1.0NRT,304.7,8,D
-21.50183,148.58611,367,0.52,0.5,2021-01-30,03:12,N,high,1.0NRT,306.7,8,D
-21.52388,149.01701,350.5,0.49,0.49,2021-01-30,03:12,N,nominal,1.0NRT,292.1,8.8,D
-22.86195,146.29259,331.3,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,297.8,3.8,D
-22.80514,147.12932,335.6,0.33,0.56,2021-01-30,03:12,N,nominal,1.0NRT,302,4.9,D
-22.91916,146.27213,349.1,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,298.4,5.7,D
-22.92467,146.27249,335.8,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,300.6,5.7,D
-22.92838,146.29178,331,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,299.3,4.3,D
-22.91892,146.27258,342.7,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,298.3,6.3,D
-22.92443,146.27293,344,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,300.7,5.9,D
-22.92827,146.2923,330.5,0.38,0.59,2021-01-30,03:12,N,nominal,1.0NRT,299.5,3.1,D
-22.99803,147.47891,340.7,0.32,0.54,2021-01-30,03:12,N,nominal,1.0NRT,297.8,4.1,D
-23.00345,147.47612,331,0.32,0.54,2021-01-30,03:12,N,low,1.0NRT,302.9,3.9,D
-23.27427,147.73824,334.1,0.62,0.54,2021-01-30,03:12,N,nominal,1.0NRT,300.1,5.7,D
-23.55119,146.45732,349.2,0.38,0.58,2021-01-30,03:12,N,nominal,1.0NRT,299.5,7.9,D
-23.55083,146.46106,367,0.38,0.58,2021-01-30,03:12,N,high,1.0NRT,296.8,9.5,D
-23.5514,146.45815,351.9,0.38,0.58,2021-01-30,03:12,N,nominal,1.0NRT,299.2,6.2,D
-23.55108,146.46188,348.9,0.38,0.58,2021-01-30,03:12,N,nominal,1.0NRT,295.9,10.4,D
-27.32369,148.83073,331.6,0.59,0.53,2021-01-30,03:12,N,low,1.0NRT,302.8,3.4,D
-27.32422,148.82468,331.5,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,301.4,1.8,D
-27.3228,148.82877,346.8,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,302.8,7.6,D
-27.31674,148.84039,331.3,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,301.3,13,D
-27.31731,148.83432,345.9,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,305,13,D
-27.31788,148.82823,343,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,302.3,7.6,D
-27.3124,148.83379,333.7,0.59,0.53,2021-01-30,03:12,N,nominal,1.0NRT,302.8,1.7,D
-26.53679,152.01125,341.6,0.56,0.43,2021-01-30,03:12,N,nominal,1.0NRT,299.7,8.7,D
-25.84711,151.12842,333.8,0.41,0.45,2021-01-30,03:12,N,low,1.0NRT,305.6,5.6,D
-29.19141,149.23178,355.6,0.78,0.78,2021-01-30,04:48,N,nominal,1.0NRT,297.4,30.8,D
-29.19379,149.22365,355.1,0.78,0.78,2021-01-30,04:48,N,nominal,1.0NRT,297.1,30.8,D
-28.24088,148.50659,350.8,0.75,0.77,2021-01-30,04:48,N,nominal,1.0NRT,294.3,16.4,D
-28.23769,148.51041,341.2,0.75,0.77,2021-01-30,04:48,N,nominal,1.0NRT,294.5,12.9,D
-28.44981,147.38385,348.4,0.64,0.72,2021-01-30,04:48,N,nominal,1.0NRT,293.1,9.2,D
