latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-28.25207,148.53333,337.7,0.75,0.77,2021-01-26,02:42,N,nominal,1.0NRT,299.6,11.1,D
-28.25269,148.52985,333,0.75,0.77,2021-01-26,02:42,N,nominal,1.0NRT,298.9,6.9,D
-28.5874,150.54477,331.4,0.58,0.69,2021-01-26,02:42,N,nominal,1.0NRT,300.4,3.3,D
-28.58675,150.5571,336,0.58,0.69,2021-01-26,02:42,N,nominal,1.0NRT,300.7,9,D
-28.58642,150.56326,330.4,0.58,0.69,2021-01-26,02:42,N,nominal,1.0NRT,299.9,5.7,D
-28.54384,152.01202,339.3,0.47,0.64,2021-01-26,02:42,N,nominal,1.0NRT,296.6,3.6,D
-30.39712,151.76074,329.9,0.51,0.66,2021-01-26,02:42,N,nominal,1.0NRT,297.8,6.1,D
-38.26726,175.06029,329.8,0.46,0.47,2021-01-26,02:42,N,nominal,1.0NRT,297.3,3,D
-39.98988,175.4351,341.3,0.44,0.46,2021-01-26,02:42,N,nominal,1.0NRT,300.4,7,D
-41.98702,171.92442,337.9,0.44,0.38,2021-01-26,02:42,N,nominal,1.0NRT,299.4,4.6,D
-43.63116,171.65941,342.8,0.41,0.37,2021-01-26,02:42,N,nominal,1.0NRT,311.6,23.7,D
-27.85704,148.31934,332.2,0.77,0.77,2021-01-26,02:42,N,nominal,1.0NRT,299.6,5,D
-26.13846,148.90094,336,0.69,0.74,2021-01-26,02:48,N,nominal,1.0NRT,294.6,7.8,D
-26.15273,152.12459,367,0.44,0.62,2021-01-26,02:48,N,high,1.0NRT,297.9,6.4,D
-26.15856,152.12529,334.1,0.44,0.62,2021-01-26,02:48,N,nominal,1.0NRT,296.6,6.4,D
-26.15123,152.1214,332.4,0.44,0.62,2021-01-26,02:48,N,nominal,1.0NRT,295,4.1,D
-26.15091,152.12581,355.1,0.44,0.62,2021-01-26,02:48,N,nominal,1.0NRT,297.1,4.1,D
-26.15707,152.12213,336.8,0.44,0.62,2021-01-26,02:48,N,nominal,1.0NRT,294.4,4.1,D
-26.15676,152.12654,338.8,0.44,0.62,2021-01-26,02:48,N,nominal,1.0NRT,297,4.1,D
-26.21824,151.68216,348.8,0.47,0.64,2021-01-26,02:48,N,nominal,1.0NRT,299,9.8,D
-26.21861,151.67693,367,0.47,0.64,2021-01-26,02:48,N,high,1.0NRT,299.8,9.8,D
-25.70152,151.01234,332.3,0.51,0.66,2021-01-26,02:48,N,low,1.0NRT,302.7,3.9,D
-25.59265,151.05023,353.8,0.51,0.66,2021-01-26,02:48,N,nominal,1.0NRT,301.8,9.7,D
-25.60519,151.07452,367,0.5,0.66,2021-01-26,02:48,N,high,1.0NRT,302.7,6.4,D
-25.60481,151.07971,334.9,0.5,0.66,2021-01-26,02:48,N,nominal,1.0NRT,301.9,6.4,D
-25.60013,151.05844,367,0.51,0.66,2021-01-26,02:48,N,high,1.0NRT,307.4,33.8,D
-25.59976,151.06357,331.3,0.51,0.66,2021-01-26,02:48,N,nominal,1.0NRT,303.6,13.5,D
-25.60051,151.05331,355.4,0.51,0.66,2021-01-26,02:48,N,nominal,1.0NRT,305.6,33.8,D
-25.59393,151.05792,367,0.51,0.66,2021-01-26,02:48,N,high,1.0NRT,302,33.8,D
-25.5943,151.0528,367,0.51,0.66,2021-01-26,02:48,N,high,1.0NRT,306,33.8,D
-25.59356,151.06306,344.8,0.51,0.66,2021-01-26,02:48,N,nominal,1.0NRT,302.9,13.5,D
-25.5793,151.08772,367,0.5,0.66,2021-01-26,02:48,N,high,1.0NRT,303.8,14.8,D
