latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-39.45366,173.92815,344.8,0.48,0.65,2021-01-25,01:18,N,nominal,1.0NRT,291.1,7.8,D
-39.69648,174.53758,329.3,0.45,0.63,2021-01-25,01:18,N,nominal,1.0NRT,290.9,2.2,D
-39.69537,174.54025,338.7,0.34,0.56,2021-01-25,03:00,N,nominal,1.0NRT,293.2,3.2,D
-39.45355,173.93207,339,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,292.1,5.9,D
-39.45451,173.92844,340,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,289.4,3.6,D
-39.45739,173.93092,367,0.33,0.55,2021-01-25,03:00,N,high,1.0NRT,293.1,6.2,D
-37.20752,174.72374,333.5,0.41,0.6,2021-01-25,03:00,N,nominal,1.0NRT,297.3,3.1,D
-37.20207,174.7215,349.9,0.41,0.6,2021-01-25,03:00,N,nominal,1.0NRT,297.9,4.4,D
-38.22792,147.16489,367,0.56,0.69,2021-01-25,03:00,N,high,1.0NRT,304.7,10.1,D
-34.45952,150.88629,341.7,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,300.1,3.3,D
-34.45977,150.88263,336.8,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,300.5,3.3,D
-34.45483,150.87845,339,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,302.2,4.7,D
-34.45853,150.88409,345.3,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,300.4,5.1,D
-34.45389,150.87627,338.2,0.33,0.55,2021-01-25,03:00,N,nominal,1.0NRT,301.1,6.1,D
-34.0797,148.97987,341.2,0.42,0.61,2021-01-25,03:00,N,nominal,1.0NRT,302.1,4.7,D
-32.06628,152.1088,339.3,0.53,0.5,2021-01-25,03:00,N,nominal,1.0NRT,304.6,5.3,D
-32.27771,146.18793,367,0.58,0.7,2021-01-25,03:00,N,high,1.0NRT,313.3,28.2,D
-32.27744,146.19444,348.7,0.58,0.7,2021-01-25,03:00,N,nominal,1.0NRT,312.2,18.1,D
-32.278,146.1814,354.3,0.58,0.7,2021-01-25,03:00,N,nominal,1.0NRT,315.7,28.2,D
-32.27057,146.20068,367,0.58,0.7,2021-01-25,03:00,N,high,1.0NRT,314.4,30.3,D
-32.27112,146.18765,367,0.58,0.7,2021-01-25,03:00,N,high,1.0NRT,316.6,33,D
-32.27139,146.18111,367,0.58,0.7,2021-01-25,03:00,N,high,1.0NRT,318.4,33,D
-32.27084,146.19417,354.6,0.58,0.7,2021-01-25,03:00,N,nominal,1.0NRT,315.8,30.3,D
-32.27167,146.17456,346,0.58,0.7,2021-01-25,03:00,N,nominal,1.0NRT,309.1,26.9,D
-32.2648,146.18077,367,0.58,0.7,2021-01-25,03:00,N,high,1.0NRT,311,33,D
-32.26452,146.18732,345.4,0.58,0.7,2021-01-25,03:00,N,nominal,1.0NRT,309.4,33,D
-31.83164,151.47821,337.5,0.57,0.52,2021-01-25,03:00,N,nominal,1.0NRT,304.3,11.5,D
-32.12484,146.0872,354.7,0.59,0.7,2021-01-25,03:00,N,nominal,1.0NRT,312.5,12.5,D
-32.12801,146.08543,348.8,0.59,0.7,2021-01-25,03:00,N,nominal,1.0NRT,312.7,9.2,D
-31.51821,151.08264,341.3,0.6,0.53,2021-01-25,03:00,N,nominal,1.0NRT,307.4,7.1,D
-31.73978,146.33415,367,0.57,0.69,2021-01-25,03:00,N,high,1.0NRT,314.7,27.7,D
-31.16065,152.15717,334.7,0.51,0.5,2021-01-25,03:00,N,nominal,1.0NRT,302.9,9.6,D
-31.15553,152.16196,332.6,0.51,0.5,2021-01-25,03:00,N,low,1.0NRT,304.4,6.3,D
-31.0406,150.38551,343.9,0.32,0.55,2021-01-25,03:00,N,nominal,1.0NRT,307.8,2.7,D
-31.04034,150.38902,343.8,0.32,0.55,2021-01-25,03:00,N,nominal,1.0NRT,308.8,2.7,D
-45.49355,170.76039,331.9,0.51,0.41,2021-01-25,03:00,N,nominal,1.0NRT,292,6,D
