latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-45.77933,168.74355,343.9,0.39,0.36,2021-01-31,02:48,N,nominal,1.0NRT,302.1,6.3,D
-37.20327,174.72093,339.6,0.56,0.52,2021-01-31,02:48,N,nominal,1.0NRT,301.9,4,D
-29.63239,150.96806,335.1,0.45,0.63,2021-01-31,02:48,N,nominal,1.0NRT,289.6,3.3,D
-43.11343,172.71332,334.5,0.51,0.41,2021-01-31,02:48,N,nominal,1.0NRT,304.8,4.3,D
-43.11422,172.71577,334.2,0.51,0.41,2021-01-31,02:48,N,nominal,1.0NRT,306.1,2.8,D
-28.34658,147.41232,345.2,0.71,0.75,2021-01-31,02:48,N,nominal,1.0NRT,300.3,6.9,D
-28.34377,147.40741,338.7,0.71,0.75,2021-01-31,02:48,N,nominal,1.0NRT,299.4,5.2,D
-27.97289,151.17809,339.8,0.42,0.61,2021-01-31,02:48,N,nominal,1.0NRT,297.2,4.1,D
-27.86969,149.52119,330.6,0.53,0.67,2021-01-31,02:48,N,nominal,1.0NRT,298,3.1,D
-21.68446,148.86664,335.3,0.5,0.66,2021-01-31,02:54,N,nominal,1.0NRT,295.5,5.7,D
-21.68307,148.8688,331.2,0.51,0.66,2021-01-31,02:54,N,nominal,1.0NRT,295.2,4.5,D
-23.22244,149.86099,332,0.45,0.63,2021-01-31,02:54,N,nominal,1.0NRT,298.1,5.1,D
-24.71089,151.05991,345.6,0.4,0.6,2021-01-31,02:54,N,nominal,1.0NRT,300.5,11.3,D
-24.7113,151.05498,367,0.4,0.6,2021-01-31,02:54,N,high,1.0NRT,304.7,12.3,D
-25.92321,149.55359,340.5,0.5,0.66,2021-01-31,02:54,N,nominal,1.0NRT,306.2,5,D
-25.92732,149.55394,339.8,0.5,0.66,2021-01-31,02:54,N,nominal,1.0NRT,305.5,7.2,D
-26.36604,146.99947,340.2,0.73,0.76,2021-01-31,02:54,N,nominal,1.0NRT,298.4,8.7,D
-26.374,146.9843,332.6,0.73,0.76,2021-01-31,02:54,N,nominal,1.0NRT,296.7,12.9,D
-27.50985,149.16206,336.1,0.55,0.68,2021-01-31,02:54,N,nominal,1.0NRT,298,10.1,D
-27.50951,149.16797,345,0.55,0.68,2021-01-31,02:54,N,nominal,1.0NRT,298.1,9.6,D
-26.36977,147.00014,334.7,0.73,0.76,2021-01-31,02:54,N,nominal,1.0NRT,297.9,12.9,D
-27.3007,150.73801,331.4,0.44,0.62,2021-01-31,02:54,N,low,1.0NRT,301.5,4,D
-26.37048,146.98491,331.7,0.73,0.76,2021-01-31,02:54,N,nominal,1.0NRT,296.1,7.7,D
-27.44505,149.66098,336.7,0.51,0.66,2021-01-31,02:54,N,nominal,1.0NRT,298.1,7.3,D
-27.50872,149.15997,338.8,0.55,0.68,2021-01-31,02:54,N,nominal,1.0NRT,298.1,5.9,D
-27.50835,149.16586,335.6,0.55,0.68,2021-01-31,02:54,N,nominal,1.0NRT,297.9,5.9,D
-27.30238,150.737,337.2,0.44,0.62,2021-01-31,02:54,N,nominal,1.0NRT,303.4,6.9,D
-21.68389,148.85849,331.5,0.51,0.66,2021-01-31,02:54,N,nominal,1.0NRT,295.8,6.2,D
-21.41856,147.16499,367,0.64,0.72,2021-01-31,02:54,N,high,1.0NRT,294.3,18.7,D
-21.42587,147.15904,337,0.64,0.72,2021-01-31,02:54,N,nominal,1.0NRT,292.7,18.7,D
-21.42537,147.16551,367,0.64,0.72,2021-01-31,02:54,N,high,1.0NRT,292.9,18.7,D
-21.43218,147.16603,343.4,0.64,0.72,2021-01-31,02:54,N,nominal,1.0NRT,292.6,9.9,D
-21.42085,147.16,367,0.64,0.72,2021-01-31,02:54,N,high,1.0NRT,293.5,20.4,D
-21.42039,147.16647,367,0.64,0.72,2021-01-31,02:54,N,high,1.0NRT,294.4,33.8,D
-21.42719,147.16701,367,0.64,0.72,2021-01-31,02:54,N,low,1.0NRT,289.1,24.5,D
-21.42766,147.16052,354.7,0.64,0.72,2021-01-31,02:54,N,nominal,1.0NRT,292.7,19.1,D
-22.40917,148.77219,340.4,0.57,0.69,2021-01-31,04:30,N,nominal,1.0NRT,300.6,9.5,D
-23.68194,149.91135,335,0.62,0.71,2021-01-31,04:30,N,nominal,1.0NRT,295.8,2.7,D
-23.68855,149.91296,357.8,0.62,0.71,2021-01-31,04:30,N,nominal,1.0NRT,298.9,11.2,D
-26.09077,146.79041,351.2,0.36,0.57,2021-01-31,04:30,N,nominal,1.0NRT,306.5,11.6,D
-26.4408,146.40047,334.7,0.34,0.56,2021-01-31,04:30,N,nominal,1.0NRT,301.8,3.6,D
-26.36418,146.99792,343,0.37,0.58,2021-01-31,04:30,N,nominal,1.0NRT,307.3,10.3,D
-26.37282,146.98482,342.3,0.37,0.58,2021-01-31,04:30,N,nominal,1.0NRT,308.3,5.6,D
-26.37198,146.98846,343.7,0.37,0.58,2021-01-31,04:30,N,nominal,1.0NRT,307,5.6,D
-26.37113,146.99214,341.6,0.37,0.58,2021-01-31,04:30,N,nominal,1.0NRT,306.9,11.9,D
-26.36942,146.99956,339.4,0.37,0.58,2021-01-31,04:30,N,nominal,1.0NRT,309.4,9.9,D
-26.90203,147.77827,336.3,0.4,0.6,2021-01-31,04:30,N,nominal,1.0NRT,300.3,3.8,D
-27.13896,148.14087,343.2,0.41,0.61,2021-01-31,04:30,N,nominal,1.0NRT,306.2,4.1,D
-27.13551,148.14085,342.1,0.41,0.61,2021-01-31,04:30,N,nominal,1.0NRT,305.4,4.4,D
-27.58579,147.20003,342.9,0.35,0.57,2021-01-31,04:30,N,nominal,1.0NRT,311.3,7,D
-27.51056,149.16927,342.3,0.46,0.64,2021-01-31,04:30,N,nominal,1.0NRT,300.7,8.8,D
-28.34226,147.40994,341.5,0.35,0.57,2021-01-31,04:30,N,nominal,1.0NRT,308.8,5.1,D
-28.34744,147.41147,349.2,0.35,0.57,2021-01-31,04:30,N,nominal,1.0NRT,311.4,5.1,D
-31.03126,146.79626,337,0.56,0.52,2021-01-31,04:30,N,nominal,1.0NRT,305.7,5.9,D
-31.02992,146.80222,336.3,0.57,0.52,2021-01-31,04:30,N,nominal,1.0NRT,305.1,10,D
-37.54639,142.09309,349,0.41,0.37,2021-01-31,04:30,N,nominal,1.0NRT,306.3,7.9,D
-37.5498,142.09401,344.7,0.41,0.37,2021-01-31,04:30,N,nominal,1.0NRT,307.9,7.9,D
-37.12583,146.08421,342.8,0.39,0.44,2021-01-31,04:30,N,nominal,1.0NRT,312.6,19.5,D
-37.99411,145.11276,337.9,0.51,0.41,2021-01-31,04:30,N,nominal,1.0NRT,303.3,2.7,D
-22.40875,148.77325,333.1,0.57,0.69,2021-01-31,04:30,N,nominal,1.0NRT,299.6,10.1,D
-22.91322,146.30579,339,0.39,0.6,2021-01-31,04:30,N,nominal,1.0NRT,301.2,4.5,D
-22.86881,146.34839,347.8,0.4,0.6,2021-01-31,04:30,N,nominal,1.0NRT,300,6.3,D
-22.87001,146.34805,352.4,0.4,0.6,2021-01-31,04:30,N,nominal,1.0NRT,300.7,8.8,D
-20.53452,147.78883,336.3,0.54,0.68,2021-01-31,04:36,N,nominal,1.0NRT,294.6,9.3,D
-16.32096,137.48083,337.6,0.46,0.39,2021-01-31,04:36,N,nominal,1.0NRT,303.7,7.2,D
-16.38343,137.57664,343.8,0.47,0.4,2021-01-31,04:36,N,nominal,1.0NRT,305,9.8,D
-16.3827,137.58104,338.7,0.47,0.4,2021-01-31,04:36,N,nominal,1.0NRT,303.2,9.6,D
-20.3317,140.205,342.4,0.56,0.43,2021-01-31,04:36,N,nominal,1.0NRT,307.5,17.6,D
-21.92963,140.44325,347.2,0.55,0.43,2021-01-31,04:36,N,nominal,1.0NRT,310.2,30.9,D
-21.95017,140.442,350.1,0.55,0.43,2021-01-31,04:36,N,nominal,1.0NRT,309.9,201.4,D
-21.95799,140.44365,349.1,0.55,0.43,2021-01-31,04:36,N,nominal,1.0NRT,308.5,59.1,D
-21.95702,140.44896,348.2,0.55,0.43,2021-01-31,04:36,N,nominal,1.0NRT,315,59.1,D
-21.9619,140.44447,348.1,0.55,0.43,2021-01-31,04:36,N,nominal,1.0NRT,312,59.1,D
-21.41978,147.16298,367,0.48,0.64,2021-01-31,04:36,N,low,1.0NRT,292.6,31.9,D
-21.42085,147.15833,339.4,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,294.5,17.3,D
-21.41871,147.16763,348.2,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,294,31.9,D
-21.42676,147.15984,356.2,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,296.5,17.3,D
-21.42356,147.17377,345.4,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,298.6,23.6,D
-21.4257,147.16449,367,0.48,0.64,2021-01-31,04:36,N,high,1.0NRT,299.1,31.9,D
-21.42463,147.16913,367,0.48,0.64,2021-01-31,04:36,N,high,1.0NRT,299.1,31.9,D
-21.43268,147.16135,345.9,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,295.9,6.4,D
-21.43055,147.17062,331,0.48,0.64,2021-01-31,04:36,N,nominal,1.0NRT,296.5,7.5,D
-21.43161,147.16599,367,0.48,0.64,2021-01-31,04:36,N,high,1.0NRT,297.3,7.5,D
-21.9878,145.9449,337.2,0.39,0.59,2021-01-31,04:36,N,nominal,1.0NRT,298.2,5.3,D
-21.98758,145.94238,336.2,0.39,0.59,2021-01-31,04:36,N,nominal,1.0NRT,298.6,5.6,D
-21.4979,148.64674,335.4,0.58,0.7,2021-01-31,04:36,N,nominal,1.0NRT,294.1,8.4,D
-30.87001,121.49325,342,0.57,0.52,2021-01-31,06:12,N,nominal,1.0NRT,304.3,7.8,D
-30.86525,121.49188,342.6,0.57,0.52,2021-01-31,06:12,N,nominal,1.0NRT,305.6,7.8,D
-38.09734,175.17787,306.4,0.34,0.56,2021-01-31,12:30,N,nominal,1.0NRT,282.4,0.7,N
-37.20969,174.72418,313.3,0.38,0.59,2021-01-31,12:30,N,nominal,1.0NRT,286.1,1.9,N
-37.20852,174.71977,309.8,0.38,0.59,2021-01-31,12:30,N,nominal,1.0NRT,286.8,3.1,N
-37.20211,174.71779,296.6,0.38,0.59,2021-01-31,12:30,N,nominal,1.0NRT,286.4,1.8,N
-37.20329,174.72223,329.1,0.38,0.59,2021-01-31,12:30,N,nominal,1.0NRT,288.6,1.8,N
-43.11406,172.71413,299.1,0.33,0.56,2021-01-31,12:30,N,nominal,1.0NRT,282,1,N
-27.96679,151.66331,310.7,0.48,0.65,2021-01-31,14:06,N,nominal,1.0NRT,285.7,1,N
-27.96556,151.65852,299.5,0.48,0.65,2021-01-31,14:06,N,nominal,1.0NRT,285.6,1,N
-27.08417,148.6467,329.5,0.74,0.76,2021-01-31,14:06,N,nominal,1.0NRT,286.8,5.8,N
-26.2162,151.67542,324,0.52,0.67,2021-01-31,14:06,N,nominal,1.0NRT,286,3.4,N
