latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-28.76616,152.88826,338.8,0.54,0.51,2021-02-05,02:54,N,nominal,1.0NRT,294,3.6,D
-44.538,171.06454,344.5,0.48,0.4,2021-02-05,02:54,N,nominal,1.0NRT,298.2,12.7,D
-39.51637,174.99437,338.5,0.61,0.54,2021-02-05,02:54,N,nominal,1.0NRT,292.9,11.3,D
-37.20344,174.72412,332,0.34,0.56,2021-02-05,02:54,N,low,1.0NRT,306.6,3.8,D
-34.76432,150.44299,347.6,0.43,0.62,2021-02-05,02:54,N,nominal,1.0NRT,290.7,5.8,D
-34.7653,150.44214,350.3,0.43,0.62,2021-02-05,02:54,N,nominal,1.0NRT,291.1,5.6,D
-34.46188,150.88234,334.3,0.4,0.6,2021-02-05,02:54,N,nominal,1.0NRT,293.3,3.2,D
-34.45647,150.87732,332.2,0.4,0.6,2021-02-05,02:54,N,nominal,1.0NRT,293.5,3.2,D
-33.76681,150.84908,330.9,0.4,0.6,2021-02-05,02:54,N,nominal,1.0NRT,294.2,3.1,D
-29.00624,151.36569,334.7,0.34,0.56,2021-02-05,02:54,N,low,1.0NRT,309.3,3.3,D
-25.23617,151.45004,352.5,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,301.1,10.4,D
-25.23008,151.46181,344.5,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,299.2,8.7,D
-25.23063,151.45566,346.7,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,300.5,8.7,D
-25.23176,151.44333,343.7,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,300.2,14.2,D
-25.22511,151.46135,342.5,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,299.7,8.7,D
-25.23561,151.45409,334.9,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,299.6,6.2,D
-25.23621,151.448,343.7,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,300.5,6.2,D
-28.4132,152.27847,340.4,0.58,0.52,2021-02-05,03:00,N,nominal,1.0NRT,296.5,10.6,D
-25.23063,151.45361,335.1,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,300.2,6.2,D
-25.23124,151.44746,331.3,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,299.6,6.2,D
-25.23185,151.44122,338.3,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,299.1,4.4,D
-25.22506,151.45929,340.5,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,300.9,8.2,D
-25.16387,150.17404,340.5,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,295.8,2.9,D
-25.16418,150.17038,337.1,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,294.9,2.9,D
-24.833,152.25592,333.7,0.53,0.5,2021-02-05,03:00,N,nominal,1.0NRT,291.5,3.7,D
-24.8283,152.2554,341.6,0.53,0.5,2021-02-05,03:00,N,nominal,1.0NRT,293,6,D
-24.94196,149.04434,337.2,0.42,0.61,2021-02-05,03:00,N,nominal,1.0NRT,293.5,7,D
-24.46649,148.71803,338.4,0.44,0.62,2021-02-05,03:00,N,nominal,1.0NRT,293,3.1,D
-23.77009,150.03659,331,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,295.6,0.6,D
-23.76664,150.03587,340.9,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,298.7,2.4,D
-23.73921,148.71477,367,0.43,0.62,2021-02-05,03:00,N,high,1.0NRT,299.8,10.1,D
-23.73886,148.71896,330.9,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,298.4,10.1,D
-23.73956,148.71048,343.7,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,295.4,12.4,D
-23.74028,148.70187,340.9,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,295.6,4.5,D
-23.73305,148.7186,367,0.43,0.62,2021-02-05,03:00,N,high,1.0NRT,304,34.4,D
-23.7334,148.71443,354.7,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,298.2,34.4,D
-23.73447,148.70149,333.2,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,295.3,6.3,D
-23.72759,148.7141,351.4,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,301.5,34.4,D
-23.72866,148.7011,356.1,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,295.6,6.3,D
-23.72725,148.71825,367,0.43,0.62,2021-02-05,03:00,N,low,1.0NRT,289.3,34.4,D
-23.72286,148.70056,354.4,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,296.6,8.3,D
-23.71707,148.7,367,0.43,0.62,2021-02-05,03:00,N,high,1.0NRT,297.1,8.3,D
-23.71127,148.69943,342.3,0.43,0.62,2021-02-05,03:00,N,nominal,1.0NRT,296.6,7,D
-23.73426,148.2894,331.5,0.46,0.63,2021-02-05,03:00,N,nominal,1.0NRT,300.2,14.2,D
-23.22231,149.85907,346.7,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,299.8,12.6,D
-23.22262,149.85573,351.2,0.36,0.57,2021-02-05,03:00,N,nominal,1.0NRT,299.9,8.9,D
-21.02,164.68515,335.2,0.4,0.44,2021-02-05,03:00,N,nominal,1.0NRT,296.1,1.6,D
-22.74451,148.11562,334,0.46,0.63,2021-02-05,03:00,N,nominal,1.0NRT,296,12.7,D
-22.48323,148.89684,330.1,0.41,0.6,2021-02-05,03:00,N,low,1.0NRT,300.5,15.6,D
-21.6622,147.9704,330.9,0.46,0.63,2021-02-05,03:00,N,nominal,1.0NRT,299.9,11.1,D
-10.47028,150.47722,327.2,0.45,0.47,2021-02-05,03:00,N,nominal,1.0NRT,289.2,3.1,D
-25.23003,151.45975,355.2,0.6,0.53,2021-02-05,03:00,N,nominal,1.0NRT,301.2,14.1,D
-28.41377,152.27228,340.1,0.58,0.52,2021-02-05,03:00,N,nominal,1.0NRT,297.3,10.6,D
-28.37604,152.62636,338.9,0.55,0.51,2021-02-05,03:00,N,nominal,1.0NRT,294.1,8.2,D
-28.38217,151.83325,333.1,0.62,0.54,2021-02-05,03:00,N,nominal,1.0NRT,302.1,6.1,D
-28.37715,151.8326,367,0.62,0.54,2021-02-05,03:00,N,high,1.0NRT,307.8,26,D
-28.37844,151.83109,367,0.62,0.54,2021-02-05,03:00,N,high,1.0NRT,308.3,25.3,D
-28.37342,151.83043,335.9,0.62,0.54,2021-02-05,03:00,N,nominal,1.0NRT,306.6,6.7,D
-28.12592,152.51457,354.8,0.56,0.51,2021-02-05,03:00,N,nominal,1.0NRT,300,13.7,D
-26.8817,150.81421,334.8,0.34,0.56,2021-02-05,03:00,N,nominal,1.0NRT,303.8,2.8,D
-26.88226,150.81549,337.5,0.34,0.56,2021-02-05,03:00,N,nominal,1.0NRT,304.2,3.7,D
-23.77213,150.0419,337.5,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,292.3,11.9,D
-35.1741,143.36571,336.7,0.56,0.43,2021-02-05,04:36,N,nominal,1.0NRT,305.1,3.9,D
-34.7996,142.54012,347.7,0.52,0.42,2021-02-05,04:36,N,nominal,1.0NRT,305.1,11.1,D
-34.7882,142.53683,346.8,0.52,0.42,2021-02-05,04:36,N,nominal,1.0NRT,303.1,7,D
-33.01366,137.59853,335.5,0.39,0.36,2021-02-05,04:36,N,nominal,1.0NRT,303.7,7.1,D
-29.57304,151.62239,328.8,0.69,0.75,2021-02-05,04:36,N,nominal,1.0NRT,289,6,D
-30.01944,149.96165,332.2,0.55,0.68,2021-02-05,04:36,N,nominal,1.0NRT,269.5,15.3,D
-30.44661,136.86029,348.3,0.39,0.36,2021-02-05,04:36,N,nominal,1.0NRT,312.5,6.8,D
-27.44921,149.66444,334,0.61,0.71,2021-02-05,04:36,N,nominal,1.0NRT,276.9,10.2,D
-30.868,121.49627,334.6,0.64,0.72,2021-02-05,04:36,N,nominal,1.0NRT,299.1,7.4,D
-25.50062,150.78375,345,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,295,6.4,D
-25.4935,150.78152,333.2,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,294.2,6.4,D
-25.5,150.78171,342.9,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,294.6,8.2,D
-25.4929,150.77937,332.2,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,294,8.2,D
-23.77321,150.04271,333.7,0.78,0.78,2021-02-05,04:36,N,nominal,1.0NRT,292.1,16.2,D
-20.19035,146.87805,334.2,0.61,0.71,2021-02-05,04:42,N,nominal,1.0NRT,289.7,4.2,D
-19.99694,139.8219,341.9,0.45,0.47,2021-02-05,04:42,N,nominal,1.0NRT,299.9,3.6,D
-20.17126,139.92105,346.5,0.45,0.47,2021-02-05,04:42,N,nominal,1.0NRT,305.1,11.2,D
-20.1879,146.8591,339.7,0.61,0.71,2021-02-05,04:42,N,nominal,1.0NRT,290,8.8,D
-20.1969,146.87958,331,0.61,0.71,2021-02-05,04:42,N,nominal,1.0NRT,290.3,4.2,D
-20.19557,146.87593,341,0.61,0.71,2021-02-05,04:42,N,nominal,1.0NRT,290.5,12.3,D
-31.27982,115.50325,341.4,0.5,0.41,2021-02-05,06:18,N,nominal,1.0NRT,313.6,3.8,D
-31.27724,115.50043,337.4,0.5,0.41,2021-02-05,06:18,N,low,1.0NRT,312,3.6,D
-30.86588,121.49695,336.9,0.35,0.57,2021-02-05,06:18,N,nominal,1.0NRT,302.7,3.1,D
-37.20737,174.72006,305.4,0.63,0.54,2021-02-05,12:36,N,nominal,1.0NRT,287.7,3.4,N
-37.20105,174.72305,306.2,0.63,0.54,2021-02-05,12:36,N,nominal,1.0NRT,287.9,2.5,N
-37.20592,174.72101,303.7,0.63,0.54,2021-02-05,12:36,N,nominal,1.0NRT,287.8,2.5,N
-39.05941,174.34476,300,0.6,0.53,2021-02-05,12:36,N,nominal,1.0NRT,284.4,1.6,N
-39.06419,174.34288,314.6,0.6,0.53,2021-02-05,12:36,N,nominal,1.0NRT,284.4,1.6,N
-39.1924,174.51268,300.8,0.58,0.52,2021-02-05,12:36,N,nominal,1.0NRT,284.1,0.7,N
-40.34462,175.24176,295.3,0.5,0.49,2021-02-05,12:36,N,nominal,1.0NRT,284.9,0.9,N
-37.20251,174.72218,310.9,0.63,0.54,2021-02-05,12:36,N,nominal,1.0NRT,288.8,3.1,N
-37.95718,176.98685,304,0.73,0.76,2021-02-05,14:12,N,nominal,1.0NRT,282.8,2,N
-19.5284,169.44827,316.9,0.54,0.42,2021-02-05,14:12,N,nominal,1.0NRT,286.7,1.5,N
-23.2302,149.88576,302.7,0.63,0.72,2021-02-05,14:12,N,nominal,1.0NRT,279.3,2.1,N
-24.82678,152.25676,300.4,0.42,0.61,2021-02-05,14:12,N,nominal,1.0NRT,289.6,1.3,N
-24.93542,152.4294,310.6,0.41,0.6,2021-02-05,14:12,N,nominal,1.0NRT,289.8,1.4,N
-25.49503,152.6322,298.4,0.39,0.59,2021-02-05,14:12,N,nominal,1.0NRT,282.9,0.5,N
-26.36646,146.99805,303.1,0.78,0.78,2021-02-05,14:12,N,nominal,1.0NRT,283.3,3.2,N
-27.82829,152.81029,304.7,0.34,0.56,2021-02-05,14:12,N,nominal,1.0NRT,288.5,0.5,N
-37.95782,176.9913,295.9,0.73,0.76,2021-02-05,14:12,N,nominal,1.0NRT,283.3,1.2,N
-27.82939,152.80988,305.4,0.34,0.56,2021-02-05,14:12,N,nominal,1.0NRT,288.4,0.5,N
-26.37052,146.98039,302.5,0.78,0.78,2021-02-05,14:12,N,nominal,1.0NRT,283.1,3.7,N
-27.97523,152.56781,296,0.34,0.56,2021-02-05,14:12,N,nominal,1.0NRT,278.7,0.3,N
