latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-44.29698,171.12811,329,0.41,0.45,2021-01-28,02:00,N,nominal,1.0NRT,293.1,2.4,D
-21.01756,164.681,329.4,0.5,0.49,2021-01-28,02:06,N,nominal,1.0NRT,279.4,4.9,D
-21.01701,164.68579,329.9,0.5,0.49,2021-01-28,02:06,N,nominal,1.0NRT,280.8,4.9,D
-21.01807,164.68384,340.8,0.5,0.49,2021-01-28,02:06,N,nominal,1.0NRT,279.2,5.7,D
-41.2347,147.4718,339.3,0.48,0.4,2021-01-28,03:42,N,nominal,1.0NRT,299.2,2.5,D
-22.81898,149.70622,345.3,0.44,0.38,2021-01-28,03:48,N,nominal,1.0NRT,300.7,6.8,D
-22.80828,149.72617,333.7,0.44,0.38,2021-01-28,03:48,N,nominal,1.0NRT,299.4,4.4,D
-22.97941,147.38498,337.4,0.39,0.36,2021-01-28,03:48,N,nominal,1.0NRT,305.6,3.5,D
-22.38394,149.15611,345.8,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,303.9,4.8,D
-22.09636,149.51355,341.2,0.44,0.38,2021-01-28,03:48,N,nominal,1.0NRT,293.9,7.6,D
-21.76668,149.04446,337,0.43,0.38,2021-01-28,03:48,N,nominal,1.0NRT,298.3,4.5,D
-21.6806,148.8651,337.9,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,306.4,7.9,D
-21.68193,148.85699,342.6,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,307.5,5,D
-21.66876,148.85033,345.5,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,308,5.9,D
-21.56627,148.90228,343.5,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,304,4.8,D
-21.56213,148.90565,336.9,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,304.1,3.3,D
-21.5628,148.90161,332.1,0.42,0.38,2021-01-28,03:48,N,low,1.0NRT,305.1,4.8,D
-21.55867,148.90497,334.4,0.42,0.38,2021-01-28,03:48,N,low,1.0NRT,305.4,4.6,D
-21.55586,148.90027,340,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,304.8,6.3,D
-21.52744,148.89902,335.4,0.42,0.38,2021-01-28,03:48,N,nominal,1.0NRT,301.7,2.8,D
-19.46541,139.70042,342.7,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,303,7.3,D
-19.46642,139.69174,343,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,301,8,D
-19.46158,139.69548,341.5,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,302.2,7.3,D
-19.45625,139.70354,338.1,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,295.3,9.4,D
-19.45675,139.69922,351.6,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,305.6,41.2,D
-19.45207,139.66353,367,0.45,0.47,2021-01-28,03:48,N,high,1.0NRT,298,9.2,D
-19.45158,139.6678,335.8,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,299.2,4.6,D
-19.43421,139.6655,344.9,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,305.9,21,D
-19.4347,139.66118,344.5,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,302.4,16.5,D
-19.43401,139.66202,367,0.45,0.47,2021-01-28,03:48,N,high,1.0NRT,305.2,17.4,D
-19.42638,139.65225,342.9,0.45,0.47,2021-01-28,03:48,N,nominal,1.0NRT,304.2,7.9,D
-18.78865,139.89523,337.3,0.43,0.46,2021-01-28,03:48,N,nominal,1.0NRT,302.6,7.7,D
-21.23149,148.1261,330.2,0.4,0.37,2021-01-28,03:48,N,low,1.0NRT,302.4,2,D
-21.2408,148.11183,343.4,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,303.6,8,D
-21.23954,148.1196,338.3,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,302.9,4.9,D
-21.25487,148.15463,338.3,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,306.7,4.3,D
-22.82251,149.70691,354.4,0.44,0.38,2021-01-28,03:48,N,nominal,1.0NRT,304.6,7.4,D
-21.02682,148.05273,335.5,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,303.9,2.5,D
-21.0395,148.03914,337.2,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,302.2,2.7,D
-21.52232,145.22545,344.4,0.4,0.37,2021-01-28,03:48,N,low,1.0NRT,311.6,17.9,D
-21.52624,145.22217,367,0.4,0.37,2021-01-28,03:48,N,high,1.0NRT,315.2,17.9,D
-21.06928,148.39114,349.7,0.41,0.37,2021-01-28,03:48,N,nominal,1.0NRT,301.1,5,D
-21.0727,148.39183,342.9,0.41,0.37,2021-01-28,03:48,N,nominal,1.0NRT,304.7,5,D
-21.07206,148.39569,340.3,0.41,0.37,2021-01-28,03:48,N,nominal,1.0NRT,304.4,5,D
-21.07547,148.39644,347,0.41,0.37,2021-01-28,03:48,N,nominal,1.0NRT,303.4,3.9,D
-21.16295,148.07375,332.6,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,299.8,5.3,D
-21.15101,148.14796,351.6,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,306.4,11.3,D
-21.17668,148.14034,353.3,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,303.6,5.1,D
-21.18073,148.13698,333.3,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,299.8,5.1,D
-21.18009,148.14091,334.4,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,301.6,5.1,D
-21.18413,148.1376,346.5,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,299.4,5.8,D
-21.19986,148.1485,345.2,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,304.3,6.4,D
-21.20984,148.13016,340.7,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,300,28.3,D
-21.21324,148.1308,331.2,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,299.8,9.8,D
-21.22067,148.1281,333.4,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,299,2.5,D
-21.21752,148.14757,344.6,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,300.8,2.8,D
-21.22407,148.12872,339,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,302,2.5,D
-21.23112,148.14999,340.4,0.4,0.37,2021-01-28,03:48,N,nominal,1.0NRT,304,2,D
-30.40182,151.76183,330,0.43,0.38,2021-01-28,03:48,N,low,1.0NRT,303.1,3.5,D
