UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179813675,2007-05-22T06:00:75171Z,-36.720703,149.893375,1.736,984.2381,0,0,No Data,No Data
1179813671,2007-05-22T06:00:71462Z,-36.811816,149.913674,183.882,994.542,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-36.901385,149.905820,1.658,1004.538,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-36.992892,149.926130,9.012,1014.884,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.105794,149.944840,55.949,1027.563,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.195531,149.937065,59.826,1037.577,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.285157,149.929360,131.647,1047.578,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.441850,149.915869,98.991,1065.063,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.509140,149.909983,78.108,1072.572,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.621242,149.900194,0.0,1085.082,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.712350,149.921209,0.0,1095.393,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.824394,149.911707,0.0,1107.895,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-37.936444,149.902113,0.0,1120.398,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.026130,149.894514,0,1130.405,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.093444,149.888955,0,1137.915,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.205653,149.879659,0,1150.434,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.272993,149.874068,0,1157.947,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.385345,149.864836,0,1170.481,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.475205,149.857406,0,1180.506,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.610036,149.846223,0,1195.548,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.722362,149.836794,0,1208.08,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.812275,149.829248,0,1218.111,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.879723,149.823573,0,1225.636,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.037139,149.810289,0,1243.199,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.146253,149.742562,0,1256.683,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.139452,149.626211,0,1266.758,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.151518,149.449773,0,1282.051,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.146212,149.362592,0,1289.601,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.159694,149.215267,0,1302.408,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.157875,149.186223,0,1304.923,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.146821,149.012099,0,1320.006,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.139446,148.896214,0.0,1330.046,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.129966,148.751339,0.0,1342.601,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.116134,148.548420,0.0,1360.194,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.102589,148.346183,0.0,1377.729,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.090628,148.173079,0.0,1392.744,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.098830,147.968834,0.0,1410.415,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.090615,147.853514,0.0,1420.421,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.100440,147.678059,0.0,1435.62,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.116503,147.588977,0.0,1443.521,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.148375,147.410739,0.0,1459.317,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.137446,147.266724,0.0,1471.811,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.153270,147.177543,0.0,1479.71,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.189159,147.056731,0.0,1490.876,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.175576,146.883983,0.0,1505.86,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.204314,146.676558,0.0,1524.042,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.215008,146.529632,0.0,1536.772,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.223113,146.353746,0.0,1551.969,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.258365,146.232458,0.0,1563.139,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.246207,146.088580,0.0,1575.616,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.256231,145.941357,0,1588.357,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.266118,145.794152,0,1601.094,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.256039,145.678910,0,1611.091,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.243323,145.535070,0,1623.572,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.230420,145.391099,0,1636.069,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.239777,145.243733,0,1648.819,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.254345,145.153893,0,1656.733,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.243731,145.038721,0,1666.732,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.244660,144.804770,0.0,1686.903,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.230979,144.660852,0.0,1699.406,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.219963,144.545678,0.0,1709.414,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.211625,144.459310,0.0,1716.921,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.239487,144.278922,0.0,1732.784,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.219570,144.077217,0.0,1750.319,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.244137,143.867540,0.0,1768.606,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.232452,143.752208,0.0,1778.635,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.214792,143.579212,0.0,1793.684,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.202721,143.463847,0.0,1803.726,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.181673,143.261913,0.0,1821.306,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.160219,143.059864,0.0,1838.908,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.147870,142.944406,0,1848.97,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.141642,142.886639,0,1854.006,0,0,No Data,No Data
